"run_id","habitat_patches"
"100085480397250A",10
"100122034741854D",6
"100125887945759D",5
"100135580890104E",4
"100146343195531C",5
"100183932703430D",8
"100334994615576E",8
"10034882643709A",2
"100371029139191E",4
"10040220491895B",12
"100468575104959D",2
"100470853601440C",8
"100483148684225C",15
"100532478773178D",7
"100560990991239D",6
"100569661702596D",5
"100590258882551B",6
"100623039763671C",10
"100708297008174B",12
"100733687879247E",11
"100735762418817C",8
"100812018373376E",2
"100864919882187D",11
"10086579274583A",4
"100890126087569A",14
"100894406008668E",16
"100917106334313E",15
"100928334691433B",3
"100946459885879B",5
"100986085435273D",12
"101116565010504D",3
"10118505517713A",5
"101201838295556D",2
"101283725002235A",14
"101299832796481C",11
"101300338103393A",10
"10131247827340A",10
"101335217817104E",10
"101375203986077A",4
"101420296672525D",22
"101422184664562E",2
"101438133551406B",4
"101480933571783D",13
"101484028774743D",6
"101719133168936B",12
"101725468833533D",14
"101867039487728A",2
"101935137549539E",3
"101946355791411B",5
"102017623090431D",18
"102121862029660C",9
"102133001367503C",13
"10216776864502D",16
"102206663349246E",9
"102253081191518C",8
"102297568573663E",12
"102314961818071E",11
"102342836111566B",11
"10240936176749D",5
"10241772749257D",13
"102455382686625A",5
"102564408504671D",3
"102575985186827B",9
"102636667287884A",5
"102729049996260D",11
"102759952000203B",20
"102818139894622B",11
"102824625772728D",10
"102882549294748D",15
"102900424026768E",3
"102937097788406B",9
"102938123029702B",4
"102940210365332D",5
"102988690396906D",12
"103026613479585E",16
"10307251616950C",2
"103076334891746A",8
"103095136613984E",15
"10311731579699E",9
"103124836637047A",11
"103131917028760E",12
"103145954605516E",9
"103157686502550A",12
"103191857925701D",6
"103219301135266B",11
"103226961204309E",4
"103242489398868B",9
"103245226494435A",16
"103338147934679E",12
"103354132211344D",4
"103448922137641E",6
"103603130884915E",13
"103608808840936D",12
"103686973026320D",5
"103693318431100B",16
"103728345234367E",2
"103760087452520E",18
"103760543598538D",3
"10378086356938A",2
"103784115755983C",16
"103832036323651A",13
"103875416213312A",4
"103883564554742B",12
"103981991377892A",2
"104087743116637A",12
"104100983809458A",9
"104234733958266B",6
"104271685866963A",6
"104310621325729A",10
"10431562922235B",6
"104372868311119D",3
"1044325910012C",3
"104451035491480B",9
"104453537533847B",7
"104459397859616A",13
"104493733769764B",15
"104528128242677A",11
"10455280028497C",18
"104576461512230D",15
"10461212815287D",8
"104700763139569D",17
"104719291236480C",10
"104722981959506A",9
"104738975408125C",4
"104763506040804C",12
"104777257957053C",8
"104840995550454D",16
"104881238138893D",15
"104964572315841D",11
"105035001411211E",7
"105045148790780A",8
"105052544470962C",13
"105118586797973C",6
"105129365321735C",7
"105131114982926A",5
"105141951070504E",3
"105187114083255B",3
"105198397350199C",11
"10523633305018E",8
"1052689502637B",8
"105287818224303C",14
"105351089865174E",2
"105424445707602E",14
"105547204951092E",8
"105600401635712E",9
"105636723339962D",13
"105683208923476E",11
"105927065497937E",12
"105944721697373C",12
"105946302997211C",9
"105948922626016D",4
"105960422195420B",2
"105966874506549D",4
"105986073011123D",6
"106005330140834C",11
"106043043226269E",16
"106048773681279B",2
"106052824736437A",4
"106068039217411C",13
"106104038840512D",3
"106133836379997C",12
"106220107212015D",9
"106224285979631E",16
"106242634459793D",13
"106251091164100C",5
"106253634464680A",10
"106259404371130C",3
"106331158963409C",9
"106338021625629A",15
"106347743442006D",5
"106348242850684E",4
"106421471595715B",13
"106509844391185D",5
"106516018584589A",11
"10652353506413C",11
"10653506149275A",15
"106554759044298D",13
"106560732844080B",14
"106590853625286E",14
"106604795440548B",15
"106648002139628D",11
"106736247156562E",3
"106767275022108A",2
"106794839144354E",6
"106819987300147B",2
"106820592710878B",11
"106898241664023E",13
"107012520166965B",3
"107038356436961E",5
"107050974159266A",4
"107056931481250D",2
"107061509309457D",12
"107155024800610C",3
"107220834599622A",3
"107333294413687B",7
"107356063000752C",12
"107435112053454D",12
"10743885378838E",13
"10749046855657C",14
"107561178660970E",10
"107562490645002C",17
"107667355935317E",8
"107701137912461C",3
"107713647514350C",3
"107744084174479E",13
"107761268517174E",6
"10785379344821E",3
"107925691615526A",9
"107927831432641B",6
"108011633739579C",12
"108061327668705E",5
"10808610334339E",12
"108102389981778E",12
"108135328043948B",2
"108152478221542D",13
"108255771786041D",3
"108269572666999C",19
"108272348156909E",2
"108340076755188C",5
"108354849902049A",10
"108358563730286C",2
"108360774693982A",10
"1083793118355A",9
"108394673734317C",4
"108432424668184E",8
"108472582249979A",8
"108488231237222C",10
"108524239049876E",8
"108533087223142D",4
"108622961690400E",14
"108636380649335C",9
"108732388642249B",12
"108751305827688E",13
"108851993700856D",7
"108874658588700C",16
"10891813083273A",3
"108924526732665B",2
"108991519288791C",5
"109079061452501C",2
"109091042304805A",4
"109129612048969C",11
"10913677294106E",11
"109269771373711B",7
"10929739873868C",9
"109381101698113A",5
"109434955880897E",3
"109441755735184D",4
"109488793717808D",8
"109520559336197D",6
"109542320829667C",3
"109595733907838D",12
"109596732868767D",8
"109597433481572B",2
"109665026961172C",3
"10969995533956C",10
"10970023315513D",17
"109739884833132C",2
"109764244248411E",3
"10985643484691B",3
"109899011037405D",13
"109981264244787B",2
"110050154422667E",13
"110065349231187A",7
"11010898697043E",5
"110117184514015C",4
"110121546827314C",12
"110129661985177D",7
"110141704010710C",14
"110156122309618E",12
"110171270290595B",5
"110176367001118A",7
"110178489151765C",14
"110352368909656C",4
"110370111402833C",11
"110451352435733B",2
"110512412372446A",13
"110526078862971E",12
"110596405402755A",6
"110638103555434B",14
"110665244558369E",4
"110696448515065C",13
"110703108297004D",8
"110708452124698C",14
"110720287055530C",11
"110726929081888C",3
"110780021579763A",5
"110798596022269A",6
"110820292539630C",12
"110845484525269A",16
"110849113346626D",7
"110904480067082A",20
"110949896901146C",9
"110963447064856E",8
"110971309594028C",11
"111035512124295E",5
"111060622478268D",8
"111122125500692D",8
"111189062286488C",5
"111189351302208E",2
"11119209693578A",7
"111207745575115B",12
"111318297953446D",16
"1114362780792E",4
"111468618961904C",5
"111473622685469A",4
"111502274592857A",10
"111503525614562E",8
"111523850530209A",14
"111744915397188E",3
"111848516345386C",12
"111941313817699E",7
"111980081903748C",10
"112030329244413B",14
"112077683297399E",13
"112184216206069D",13
"112199671152618B",2
"112218567726539D",16
"112226450904493A",5
"112281384217210C",12
"112351274286547A",3
"112440484358808E",14
"112486887065160A",14
"112502741599277A",4
"112655185862437D",11
"112721686281523C",7
"11275816266861E",12
"112800070347050B",11
"112805099713923B",2
"11280688135188B",7
"112809626744482D",4
"112992539228652D",4
"112995416995833B",16
"112997969721349C",3
"113029504474275B",15
"113067608561398E",10
"113068928675137A",12
"11314814676931B",6
"113156119400508A",10
"113347848910819E",4
"11341274774868B",2
"113456762544698C",8
"113547530002540D",3
"113576484973912D",13
"113615187759296B",18
"113678236572557D",5
"113698868626556B",11
"113745677022904C",14
"113750613340501B",4
"113784286344924C",10
"113800183792741C",2
"113917859472545E",10
"113943200463355A",13
"113984388518236C",6
"114021032180702A",16
"114021154511998A",18
"114031516637619B",14
"114045860373057D",2
"114080145464619C",6
"114080801236588D",13
"114090543451304B",11
"114113088378559B",11
"114115752671716B",7
"114154475814174E",2
"114174674939341D",3
"114178649598502D",11
"114204258104896D",8
"114216834451162C",14
"114230304461016A",10
"114234158277238D",5
"114314695354524D",12
"11434583367956D",12
"114389049034192E",14
"11440688324728B",11
"114527696098719E",4
"11452885541535C",7
"11453648879831D",3
"114556145892886E",16
"11457537018125D",13
"11457658331135C",9
"11471412838780A",11
"114739660213483D",14
"114760028374587C",5
"114796229344433A",2
"114820157649514E",10
"114971719320549A",15
"114973067946463E",4
"115015246886668C",4
"115020256345184A",9
"115048820630421D",13
"115150811048358B",8
"115168813544355B",10
"11525694556098C",5
"11527917144520E",3
"115294423130925D",6
"115302362965417E",14
"115305830271480B",14
"115311983028885E",10
"115334597491662A",9
"115384254537807E",14
"115422634419423A",6
"11542809522894B",11
"115443841413962A",12
"115494144922276C",8
"115503639865747C",8
"115534921326120D",6
"115574605991587E",2
"115648852557116B",13
"115667937023773C",8
"115672335125748C",13
"115716967806103C",6
"115741623999871D",2
"115765011582333C",8
"115808218912401C",14
"11584242355190A",3
"115845792212273D",7
"11589642129564C",7
"115925973782287E",3
"115985564242019B",7
"116048818273194E",13
"116199191555470A",6
"116299556434508B",16
"116344103732133E",7
"116366542710607B",18
"116375329334938C",10
"11639773647011A",9
"116403514184434A",3
"116580973400922E",11
"116652149318332E",12
"116802803807093A",18
"116808356240589C",13
"116850542108980A",9
"116944400923658E",5
"116948448876260C",16
"1170142045054B",11
"117163968199558B",15
"117335999225238E",3
"117348851412159A",8
"117443265099503A",11
"117536869548410D",4
"117543108062682A",6
"117551211871659B",4
"117738871861624C",5
"117831659554101C",4
"117850949029342E",3
"117946547661260A",8
"11796324054818B",10
"117982437151238C",4
"11804797830605D",18
"118068031154128E",6
"118088974489700B",3
"118180739464396A",15
"118204815047752C",17
"118260206348641E",13
"118325446825585A",4
"118337264786005A",14
"118365550539260B",3
"118453168276794E",14
"11847564012755E",14
"118512260486860D",5
"118531807614099C",9
"11857523747780A",3
"11857807417161A",11
"118589925887989A",4
"118594442854363E",14
"118662264841604E",13
"118696785969554E",9
"118716931383812A",3
"118770130305214A",10
"118777380235225A",6
"118783398205839E",13
"118869640432597B",10
"118942135884618B",15
"11904439980734A",5
"119111465612816B",6
"119176536662342C",17
"119327359006393E",13
"119355941488498C",17
"119383824293583A",3
