"run_id","proportion_of_habitat"
"79140918333561B",51.151
"215478855248850C",51.151
"193224321083137A",72.043
"290737620761799E",72.043
"519656257389691C",83.936
"354721953167898D",83.936
"421704702113970A",42.646
"860848157122540C",42.646
"455006695490107D",30.294
"571743820296981C",30.294
"322124578034221C",20.971
"776607930896288D",20.971
"195271755321372D",46.308
"602485735882852A",46.308
"864207315463295B",36.887
"334240997162504D",36.887
"251504551813606A",14.438
"84597890357426C",14.438
"883003564399006C",18.786
"355707461711033C",18.786
"938942821997874D",42.195
"75702515990692B",42.195
"680433814002370A",74.975
"747082117675050A",74.975
"818678612745180E",30.984
"932060379677178A",30.984
"710406965708045D",85.889
"172924698039238C",85.889
"225879179823139B",44.803
"418940004047570D",44.803
"704302091045487D",17.949
"36055534225123A",17.949
"142461925674154C",10.668
"529026780926443D",10.668
"998389582711441D",12.67
"192912169998760B",12.67
"785781708403571A",49.06
"961707854555831D",49.06
"475771670556516D",83.328
"985858555632451D",83.328
"609048224992671C",43.214
"556406696641672C",43.214
"344247526365546E",47.343
"50397574369391D",47.343
"141743529779125D",32.654
"730966389023474D",32.654
"988340559057841D",79.07
"94611244704859B",79.07
"723268161224321B",60.725
"184039090549152A",60.725
"454668042317228B",11.915
"165688277998603D",11.915
"859623617285136A",13.447
"795367280783173E",13.447
"534889480658453A",75.367
"216438820997369A",75.367
"981751269409604A",31.629
"110156122309618E",31.629
"153185879760626C",68.475
"775394103032607B",68.475
"225345468094349E",21.676
"167108202295644C",21.676
"340411064514061D",10.479
"786871847791693E",10.479
"772400504641928C",57.358
"487019435725269B",57.358
"61049291967457D",42.736
"112486887065160A",42.736
"961344496011332A",70.22
"205493102481427E",70.22
"185121829975215C",20.445
"408017323925003B",20.445
"319105489817833C",78.408
"346315267140652E",78.408
"811234666597009E",86.871
"74437288735856B",86.871
"491219330233660C",89.196
"356647929339631C",89.196
"54816208555600E",63.283
"519425611684177B",63.283
"77215764875756B",48.019
"20169815635599E",48.019
"261117584096448E",62.721
"578052575129959D",62.721
"491951222946635E",11.93
"11857807417161A",11.93
"906114334794020B",38.093
"374910807174977D",38.093
"734680880013521C",49.595
"848552089836144E",49.595
"905603241039702D",22.861
"84073942559388C",22.861
"69971948416630A",85.972
"616945045460933B",85.972
"21685441414789C",88.205
"496892030863830B",88.205
"314378971162712D",83.402
"14158260996700C",83.402
"206823802732739E",41.745
"997052054973448C",41.745
"738808778244853D",13.116
"623605287246578B",13.116
"405234968232823E",31.87
"99694601448988E",31.87
"884226744268596B",21.939
"287747002580908A",21.939
"26715895521579E",58.26
"32499104990238C",58.26
"818648258664359E",14.831
"610432024195569A",14.831
"811817573558608A",71.76
"110596405402755A",71.76
"115925973782287E",74.595
"808041447884670E",74.595
"186227374617856E",66.183
"50370193092926B",66.183
"210330738699662C",27.453
"497512406048362C",27.453
"897442019167432B",23.695
"323150288487950D",23.695
"416124488684045A",26.622
"826748090965832D",26.622
"417741031586174C",18.644
"367056918207249A",18.644
"837382752584624B",62.84
"556902367466224D",62.84
"182624394861025A",66.89
"490657769674457C",66.89
"262105754921429D",72.987
"518522883832560D",72.987
"352348269441504B",78.594
"2854102663677E",78.594
"276419503025751A",48.719
"55622390142073B",48.719
"404873898149192D",58.213
"212919441921758B",58.213
"55965693903359E",26.739
"323331121969145D",26.739
"756695803212576B",66.667
