run-id,N_individuals,steps,landscape_area,habitat_area,matrix_area,type_scenario,proportion_habitat_random,perceptual-range,matrix-permeability,mean_hab_neighbors,total_crossings,assess-top-sections
9393223C,100,300,7056,3764,3208,8,49.314,5.321,0.396,2.6666666666666665,385,0.449
7003876E,100,300,7056,3419,3553,8,49.314,5.321,0.396,2.75,308,0.461
7003876E,100,300,7056,3419,3553,8,49.314,13.242,0.382,2.75,302,0.434
9393223C,100,300,7056,3764,3208,8,49.314,13.242,0.382,2.6666666666666665,312,0.558
7003876E,100,300,7056,3649,3323,8,52.809,13.242,0.396,2.75,390,0.482
9393223C,100,300,7056,4046,2926,8,52.809,13.242,0.396,2.6666666666666665,279,0.466
9393223C,100,300,7056,4046,2926,8,52.809,5.321,0.382,2.6666666666666665,302,0.493
7003876E,100,300,7056,3649,3323,8,52.809,5.321,0.382,2.75,320,0.513
9393223C,100,300,7056,4046,2926,8,52.809,13.242,0.382,2.6666666666666665,305,0.469
7003876E,100,300,7056,3649,3323,8,52.809,13.242,0.382,2.75,356,0.531
9393223C,100,300,7056,3764,3208,8,49.314,13.242,0.396,2.6666666666666665,299,0.478
7003876E,100,300,7056,3419,3553,8,49.314,13.242,0.396,2.75,368,0.454
9393223C,100,300,7056,3764,3208,8,49.314,5.321,0.382,2.6666666666666665,344,0.392
7003876E,100,300,7056,3419,3553,8,49.314,5.321,0.382,2.75,335,0.43
7003876E,100,300,7056,3419,3553,8,49.314,13.242,0.382,2.75,379,0.443
9393223C,100,300,7056,3764,3208,8,49.314,13.242,0.382,2.6666666666666665,278,0.59
9393223C,100,300,7056,4046,2926,8,52.809,5.321,0.396,2.6666666666666665,343,0.414
7003876E,100,300,7056,3649,3323,8,52.809,5.321,0.396,2.75,348,0.434
9393223C,100,300,7056,4046,2926,8,52.809,13.242,0.396,2.6666666666666665,294,0.449
7003876E,100,300,7056,3649,3323,8,52.809,13.242,0.396,2.75,342,0.471
7003876E,100,300,7056,3649,3323,8,52.809,5.321,0.382,2.75,307,0.436
9393223C,100,300,7056,4046,2926,8,52.809,5.321,0.382,2.6666666666666665,343,0.429
2566346C,100,300,7056,4464,2508,8,62.012,7.226,0.1,4.309523809523809,428,0.451
7566357B,100,300,7056,4209,2763,8,62.012,7.226,0.1,2.6785714285714284,252,0.567
2566346C,100,300,7056,4464,2508,8,62.012,12.145,0.1,4.309523809523809,379,0.443
7566357B,100,300,7056,4209,2763,8,62.012,12.145,0.1,2.6785714285714284,293,0.597
2566346C,100,300,7056,3517,3455,8,49.824,7.226,0.1,4.2023809523809526,533,0.394
7566357B,100,300,7056,3474,3498,8,49.824,7.226,0.1,2.392857142857143,302,0.589
2566346C,100,300,7056,3517,3455,8,49.824,12.145,0.1,4.2023809523809526,507,0.428
