N_individuals,steps,landscape_area,habitat_area,matrix_area,type_scenario,proportion_of_habitat,matrix_permeability,perceptual_range,vision_angle,total_crossings,assess_top_sections
100,500,7056,1660,5312,6,10,16,30,169,771,0.502
100,500,7056,1660,5312,6,10,77,16,179,801,0.397
100,500,7056,1600,5372,2,10,61,8,105,586,0.391
100,500,7056,1600,5372,1,10,27,6,117,673,0.464
100,500,7056,1600,5372,4,10,67,11,148,681,0.421
100,500,7056,1600,5372,3,10,88,29,152,783,0.456
100,500,7056,1600,5372,5,10,54,38,171,905,0.513
100,500,7056,1660,5312,6,10,22,28,172,713,0.463
100,500,7056,1600,5372,4,10,69,23,146,919,0.425
100,500,7056,1600,5372,2,10,34,13,95,739,0.464
100,500,7056,1600,5372,1,10,13,6,158,859,0.545
100,500,7056,1600,5372,5,10,14,26,125,505,0.428
100,500,7056,1600,5372,4,10,52,10,149,700,0.46
100,500,7056,1660,5312,6,10,70,19,177,660,0.427
100,500,7056,1600,5372,2,10,10,17,114,1181,0.745
100,500,7056,1680,5292,7,10,77,14,143,434,0.417
100,500,7056,1600,5372,5,10,27,35,100,620,0.445
100,500,7056,1600,5372,5,10,22,37,160,843,0.486
100,500,7056,1600,5372,3,10,38,38,150,1010,0.752
100,500,7056,1600,5372,1,10,15,16,142,1288,0.683
100,500,7056,1600,5372,4,10,42,16,148,981,0.479
100,500,7056,1600,5372,2,10,46,22,123,1080,0.533
100,500,7056,1600,5372,3,10,48,32,98,741,0.524
100,500,7056,1660,5312,6,10,21,31,128,756,0.425
100,500,7056,1600,5372,1,10,56,17,106,896,0.469
100,500,7056,1600,5372,3,10,41,37,179,984,0.815
100,500,7056,1600,5372,5,10,41,25,129,725,0.412
100,500,7056,1600,5372,2,10,77,24,159,920,0.464
100,500,7056,1600,5372,2,10,15,17,134,1215,0.771
100,500,7056,1600,5372,3,10,54,39,94,895,0.55
100,500,7056,1680,5292,7,10,13,22,162,27,1
100,500,7056,1600,5372,2,10,36,26,142,1478,0.62
100,500,7056,1600,5372,1,10,84,22,166,795,0.424
100,500,7056,1600,5372,4,10,84,41,161,1159,0.536
100,500,7056,1600,5372,4,10,25,39,122,1492,0.46
100,500,7056,1600,5372,5,10,42,12,138,465,0.417
100,500,7056,1660,5312,6,10,64,7,171,622,0.423
100,500,7056,1600,5372,2,10,56,18,162,1048,0.561
100,500,7056,1600,5372,2,10,24,8,133,750,0.541
100,500,7056,1600,5372,5,10,26,26,96,548,0.434
100,500,7056,1600,5372,2,10,21,35,95,1440,0.519
100,500,7056,1600,5372,2,10,36,13,119,758,0.54
100,500,7056,1600,5372,4,10,20,20,114,1282,0.422
100,500,7056,1600,5372,3,10,68,33,105,742,0.47
100,500,7056,1600,5372,2,10,56,41,179,2034,0.592
100,500,7056,1600,5372,4,10,41,5,109,676,0.365
100,500,7056,1680,5292,7,10,61,28,132,554,0.464
100,500,7056,1600,5372,4,10,51,37,132,1114,0.463
100,500,7056,1660,5312,6,10,65,10,143,624,0.418
100,500,7056,1600,5372,3,10,15,32,123,753,0.797
100,500,7056,1600,5372,3,10,49,14,105,458,0.439
100,500,7056,1600,5372,5,10,35,24,110,678,0.392
100,500,7056,1660,5312,6,10,50,22,173,714,0.405
100,500,7056,1600,5372,2,10,15,16,147,1298,0.786
100,500,7056,1660,5312,6,10,51,12,109,601,0.418
100,500,7056,1600,5372,3,10,54,29,112,710,0.494
100,500,7056,1600,5372,4,10,79,22,132,852,0.398
100,500,7056,1600,5372,3,10,84,27,155,749,0.445
100,500,7056,1600,5372,5,10,41,14,119,450,0.4
100,500,7056,1600,5372,5,10,60,19,163,550,0.444
100,500,7056,1600,5372,3,10,48,10,124,377,0.398
100,500,7056,1600,5372,4,10,56,29,100,860,0.398
100,500,7056,1660,5312,6,10,29,39,118,889,0.468
100,500,7056,1600,5372,1,10,35,21,116,1279,0.589
100,500,7056,1600,5372,3,10,35,7,157,222,0.437
100,500,7056,1600,5372,4,10,15,30,134,1725,0.399
100,500,7056,1600,5372,5,10,40,5,152,535,0.366
100,500,7056,1660,5312,6,10,27,40,105,837,0.443
100,500,7056,1600,5372,3,10,44,35,166,905,0.752
100,500,7056,1660,5312,6,10,80,41,121,932,0.473
100,500,7056,1660,5312,6,10,23,14,150,592,0.674
100,500,7056,1600,5372,4,10,89,7,118,591,0.355
100,500,7056,1600,5372,2,10,68,21,116,842,0.448
100,500,7056,1600,5372,4,10,29,20,104,1024,0.4
100,500,7056,1600,5372,1,10,84,12,116,629,0.417
100,500,7056,1660,5312,6,10,26,37,170,882,0.532
100,500,7056,1600,5372,5,10,38,14,102,443,0.429
100,500,7056,1660,5312,6,10,72,7,91,616,0.373
100,500,7056,1600,5372,4,10,86,11,149,733,0.355
100,500,7056,1660,5312,6,10,11,35,98,713,0.414
100,500,7056,1600,5372,3,10,64,16,148,474,0.401
100,500,7056,1600,5372,4,10,52,29,107,1001,0.387
100,500,7056,1600,5372,5,10,65,36,136,983,0.473
100,500,7056,1660,5312,6,10,27,13,114,604,0.548
100,500,7056,1680,5292,7,10,84,26,128,698,0.444
100,500,7056,1600,5372,5,10,69,30,109,808,0.41
100,500,7056,1600,5372,2,10,85,39,170,1175,0.534
100,500,7056,1600,5372,2,10,71,36,155,1291,0.532
100,500,7056,1660,5312,6,10,80,11,148,646,0.385
100,500,7056,1600,5372,4,10,51,5,94,549,0.352
100,500,7056,1600,5372,1,10,15,40,168,3060,0.949
100,500,7056,1600,5372,3,10,78,23,123,670,0.416
100,500,7056,1600,5372,2,10,82,9,112,560,0.409
100,500,7056,1660,5312,6,10,17,39,127,915,0.496
100,500,7056,1600,5372,4,10,33,38,98,1167,0.417
100,500,7056,1600,5372,4,10,38,14,143,1102,0.485
100,500,7056,1660,5312,6,10,21,16,132,512,0.699
