N_individuals,steps,scenario,proportion_of_habitat,matrix_permeability,perceptual_range,vision_angle,total_crossings,assess_top_sections
100,500,6,10,30,15,146,536,0.595
100,500,3,10,21,15,152,97,0.639
100,500,5,10,42,16,101,522,0.391
100,500,3,10,20,16,91,360,0.472
100,500,3,10,30,39,152,1065,0.838
100,500,3,10,34,33,132,812,0.723
100,500,6,10,21,39,152,989,0.498
100,500,3,10,21,39,146,1127,0.893
100,500,4,10,66,33,166,1159,0.448
100,500,3,10,21,39,152,1010,0.903
100,500,5,10,20,39,91,688,0.433
100,500,1,10,54,33,142,1551,0.696
100,500,3,10,53,6,122,398,0.384
100,500,3,10,42,39,91,853,0.559
100,500,3,10,20,39,101,923,0.755
100,500,6,10,47,33,142,950,0.446
100,500,3,10,20,39,91,869,0.697
100,500,4,10,37,12,162,887,0.581
100,500,3,10,80,6,137,575,0.372
100,500,3,10,82,12,163,511,0.401
100,500,6,10,20,17,98,591,0.635
100,500,3,10,66,25,166,620,0.531
100,500,4,10,66,25,132,946,0.39
100,500,4,10,34,25,166,1710,0.411
100,500,1,10,32,17,140,1239,0.648
100,500,4,10,66,25,166,1185,0.417
100,500,6,10,47,20,142,633,0.468
100,500,1,10,47,20,142,1235,0.655
100,500,6,10,54,20,142,666,0.414
100,500,6,10,47,20,142,633,0.468
100,500,4,10,14,33,156,2105,0.436
100,500,3,10,80,29,122,709,0.433
100,500,3,10,53,29,137,660,0.562
100,500,3,10,80,29,137,750,0.484
100,500,3,10,82,6,162,548,0.356
100,500,3,10,37,6,163,288,0.444
100,500,2,10,11,33,166,2598,0.654
100,500,4,10,82,6,163,517,0.387
100,500,3,10,80,29,137,750,0.484
100,500,3,10,82,6,163,437,0.387
100,500,1,10,32,18,98,993,0.573
100,500,1,10,20,18,140,1314,0.674
100,500,6,10,32,18,140,718,0.557
100,500,2,10,81,29,162,972,0.448
100,500,1,10,32,18,140,1151,0.638
100,500,1,10,26,29,101,1401,0.707
100,500,2,10,14,27,166,2042,0.758
100,500,2,10,11,27,156,1863,0.751
100,500,4,10,11,27,166,2528,0.424
100,500,1,10,81,7,101,541,0.348
100,500,1,10,26,7,162,780,0.547
100,500,2,10,26,7,101,677,0.397
100,500,2,10,11,27,166,2194,0.764
100,500,1,10,26,7,101,716,0.411
100,500,1,10,85,35,110,915,0.482
100,500,2,10,29,7,145,762,0.512
100,500,1,10,54,23,110,1014,0.513
100,500,1,10,85,23,172,835,0.465
100,500,1,10,54,23,172,1429,0.687
100,500,1,10,54,23,172,1429,0.687
100,500,1,10,54,35,172,1896,0.748
100,500,3,10,69,26,164,552,0.498
100,500,3,10,43,7,103,528,0.375
100,500,3,10,29,37,103,875,0.667
100,500,7,10,69,6,129,502,0.39
100,500,3,10,43,37,145,941,0.758
100,500,2,10,43,37,103,1395,0.503
100,500,7,10,26,26,129,270,0.444
100,500,3,10,26,6,129,294,0.432
100,500,7,10,26,6,164,190,0.526
100,500,3,10,43,37,103,835,0.568
100,500,1,10,19,11,160,887,0.626
100,500,7,10,26,6,129,313,0.415
100,500,6,10,19,31,126,774,0.402
100,500,1,10,90,11,126,741,0.383
100,500,6,10,90,11,160,622,0.373
100,500,1,10,90,11,160,741,0.385
100,500,2,10,75,16,170,952,0.512
100,500,2,10,49,16,111,879,0.506
100,500,6,10,49,16,170,654,0.471
100,500,2,10,49,16,170,1137,0.617
100,500,6,10,75,29,111,748,0.412
100,500,1,10,90,31,160,1105,0.457
100,500,5,10,13,30,99,578,0.417
100,500,3,10,70,30,99,738,0.455
100,500,5,10,70,30,124,772,0.43
100,500,5,10,70,30,99,684,0.402
100,500,4,10,60,24,102,871,0.379
100,500,3,10,13,27,124,512,0.711
100,500,4,10,75,24,102,784,0.38
100,500,4,10,75,24,102,784,0.38
100,500,4,10,75,24,125,868,0.397
100,500,2,10,49,29,170,1637,0.525
100,500,4,10,60,23,125,853,0.416
100,500,6,10,48,17,125,631,0.442
100,500,3,10,48,29,168,537,0.609
100,500,5,10,70,27,99,621,0.427
100,500,3,10,48,29,125,626,0.567
100,500,6,10,48,29,168,869,0.402
100,500,3,10,48,29,168,537,0.609
100,500,7,10,79,22,123,716,0.394
100,500,4,10,75,23,102,734,0.365
100,500,6,10,19,22,123,584,0.524
100,500,7,10,19,22,162,52,0.769
100,500,7,10,19,22,123,189,0.534
100,500,6,10,79,27,162,702,0.43
100,500,3,10,48,17,168,225,0.516
100,500,7,10,19,27,123,265,0.491
100,500,5,10,14,41,120,726,0.5
100,500,5,10,61,41,113,897,0.482
100,500,2,10,61,41,120,1381,0.488
100,500,2,10,14,40,113,2032,0.586
100,500,5,10,61,41,120,1024,0.459
100,500,6,10,71,33,113,691,0.427
100,500,6,10,34,33,151,998,0.46
100,500,5,10,61,40,120,1080,0.473
100,500,7,10,71,33,151,749,0.465
100,500,6,10,71,33,151,804,0.471
100,500,1,10,74,23,120,876,0.469
100,500,7,10,34,40,113,737,0.472
100,500,1,10,74,23,137,1012,0.502
100,500,3,10,74,23,137,555,0.461
100,500,1,10,74,23,137,1012,0.502
100,500,4,10,51,23,136,1045,0.389
100,500,4,10,66,23,176,1253,0.396
100,500,4,10,51,23,176,1402,0.411
100,500,3,10,74,32,120,816,0.498
100,500,4,10,51,23,176,1402,0.411
100,500,6,10,71,40,151,1122,0.509
100,500,2,10,54,35,142,1569,0.523
100,500,2,10,43,35,131,1629,0.527
100,500,6,10,54,35,131,851,0.421
100,500,1,10,74,32,137,1270,0.572
100,500,2,10,54,35,131,1421,0.519
100,500,4,10,66,39,136,1105,0.505
100,500,1,10,53,41,152,1903,0.766
100,500,4,10,51,39,176,1455,0.532
100,500,6,10,53,41,168,1093,0.538
100,500,1,10,61,41,168,1780,0.749
100,500,6,10,43,38,142,905,0.473
100,500,1,10,53,41,168,2153,0.787
100,500,1,10,55,27,94,976,0.491
100,500,6,10,55,27,129,776,0.412
100,500,1,10,74,27,129,1004,0.513
100,500,6,10,41,19,102,606,0.434
100,500,6,10,61,30,152,949,0.427
100,500,6,10,41,19,135,614,0.45
100,500,1,10,55,27,129,1221,0.639
100,500,6,10,89,19,135,652,0.39
100,500,6,10,74,17,94,616,0.377
100,500,2,10,54,38,131,1497,0.512
100,500,6,10,41,19,135,614,0.45
100,500,6,10,89,39,102,865,0.452
100,500,1,10,53,30,168,1829,0.761
100,500,2,10,57,36,168,1665,0.541
100,500,2,10,57,36,136,1471,0.515
100,500,3,10,23,10,115,239,0.444
100,500,2,10,49,14,168,1043,0.628
100,500,2,10,49,36,136,1625,0.528
100,500,1,10,55,17,129,1086,0.515
100,500,2,10,23,10,147,900,0.634
100,500,4,10,34,10,163,903,0.575
100,500,3,10,25,10,147,106,0.557
100,500,2,10,34,10,143,869,0.57
100,500,2,10,40,8,93,664,0.41
100,500,4,10,40,8,98,657,0.403
100,500,4,10,61,10,143,738,0.407
100,500,2,10,57,36,136,1471,0.515
100,500,2,10,46,8,98,648,0.397
100,500,3,10,23,10,147,92,0.576
100,500,4,10,76,21,125,769,0.417
100,500,4,10,34,10,143,677,0.592
100,500,2,10,40,8,98,709,0.403
100,500,3,10,76,21,166,617,0.455
100,500,4,10,54,21,166,1012,0.414
100,500,2,10,25,35,115,1686,0.538
100,500,6,10,41,39,135,985,0.48
100,500,4,10,76,21,166,807,0.425
100,500,2,10,57,14,136,841,0.474
100,500,5,10,72,32,176,861,0.47
100,500,3,10,72,32,143,823,0.526
100,500,5,10,60,32,143,855,0.454
100,500,2,10,61,28,163,1328,0.528
100,500,4,10,73,16,161,771,0.394
100,500,3,10,73,16,140,481,0.385
100,500,5,10,72,32,143,843,0.44
100,500,4,10,22,16,140,1154,0.568
100,500,4,10,73,16,140,816,0.382
100,500,3,10,23,35,147,964,0.869
100,500,5,10,59,30,106,713,0.408
100,500,2,10,68,7,143,647,0.374
100,500,4,10,22,30,106,1189,0.402
100,500,4,10,46,38,93,914,0.434
100,500,4,10,12,8,160,976,0.701
100,500,3,10,40,7,143,392,0.441
100,500,4,10,59,30,153,1151,0.454
100,500,3,10,68,7,154,425,0.395
100,500,3,10,24,8,160,174,0.569
100,500,4,10,59,30,106,860,0.401
100,500,3,10,12,8,156,91,0.659
100,500,3,10,68,7,143,593,0.388
100,500,4,10,34,28,143,1420,0.406
100,500,3,10,12,8,160,28,0.857
100,500,3,10,54,26,125,607,0.504
100,500,3,10,44,36,98,771,0.569
100,500,5,10,44,36,169,881,0.513
100,500,2,10,40,38,98,1420,0.504
100,500,3,10,73,36,169,1005,0.609
100,500,3,10,44,36,169,954,0.795
100,500,3,10,60,37,176,1085,0.71
100,500,4,10,76,26,166,931,0.41
100,500,4,10,73,32,128,1076,0.407
100,500,3,10,73,32,134,837,0.527
100,500,6,10,14,13,173,542,0.869
100,500,3,10,14,13,146,57,0.649
100,500,3,10,73,32,128,805,0.519
100,500,1,10,86,11,111,747,0.38
100,500,3,10,23,32,128,743,0.813
100,500,3,10,86,11,119,628,0.373
100,500,3,10,14,13,173,20,1
100,500,3,10,24,13,173,59,0.644
100,500,3,10,86,11,111,554,0.379
100,500,3,10,71,11,111,560,0.38
100,500,3,10,22,32,161,616,0.856
100,500,5,10,22,6,153,184,0.462
100,500,5,10,72,37,143,907,0.507
100,500,4,10,72,41,94,826,0.444
100,500,6,10,83,11,118,613,0.392
100,500,5,10,72,41,94,906,0.457
100,500,5,10,84,41,94,841,0.438
100,500,2,10,83,11,118,629,0.383
100,500,2,10,30,11,118,726,0.532
100,500,4,10,73,32,140,841,0.476
100,500,5,10,72,41,165,1119,0.567
100,500,4,10,59,6,106,600,0.383
100,500,2,10,83,11,177,762,0.457
100,500,2,10,40,40,154,2152,0.581
100,500,3,10,77,40,159,1099,0.625
100,500,4,10,24,19,156,1414,0.498
100,500,7,10,69,40,159,931,0.491
100,500,4,10,38,18,134,991,0.42
100,500,7,10,77,40,159,966,0.517
100,500,5,10,73,26,98,657,0.4
100,500,3,10,68,40,143,1169,0.645
100,500,7,10,77,40,139,940,0.498
100,500,1,10,41,18,134,1103,0.618
100,500,1,10,38,18,134,1192,0.618
100,500,1,10,38,18,99,845,0.562
100,500,3,10,12,19,160,77,0.805
100,500,5,10,57,26,168,712,0.445
100,500,3,10,25,26,168,335,0.782
100,500,4,10,23,32,134,1619,0.43
100,500,4,10,36,22,115,1174,0.391
100,500,3,10,57,26,168,474,0.586
100,500,3,10,57,26,150,591,0.511
100,500,3,10,36,8,118,321,0.427
100,500,7,10,69,22,115,550,0.384
100,500,3,10,44,26,169,365,0.688
100,500,2,10,43,8,118,662,0.423
100,500,7,10,36,22,115,348,0.428
100,500,6,10,24,24,146,659,0.469
100,500,7,10,36,22,125,294,0.469
100,500,2,10,36,8,118,661,0.425
100,500,7,10,57,23,165,443,0.481
100,500,2,10,36,8,119,677,0.486
100,500,3,10,38,23,165,272,0.618
100,500,3,10,73,32,128,805,0.519
100,500,3,10,57,23,165,364,0.571
100,500,3,10,57,23,156,515,0.534
100,500,3,10,75,30,169,810,0.527
100,500,3,10,14,24,173,136,0.772
100,500,1,10,71,38,119,1245,0.547
100,500,2,10,82,17,146,771,0.407
100,500,6,10,87,30,169,715,0.443
100,500,4,10,77,13,177,818,0.413
100,500,6,10,75,30,169,914,0.417
100,500,6,10,75,30,165,810,0.457
100,500,4,10,84,18,165,757,0.439
100,500,2,10,49,17,146,942,0.585
100,500,5,10,17,20,101,434,0.562
100,500,2,10,82,17,146,771,0.407
100,500,2,10,79,13,177,763,0.463
100,500,2,10,82,17,135,785,0.408
100,500,4,10,35,8,99,658,0.441
100,500,2,10,77,13,177,758,0.422
100,500,2,10,77,13,125,697,0.412
100,500,4,10,25,20,101,869,0.432
100,500,4,10,55,8,99,609,0.389
100,500,4,10,79,18,155,926,0.401
100,500,6,10,30,26,177,735,0.454
100,500,4,10,17,20,101,1145,0.424
100,500,3,10,86,38,111,855,0.46
100,500,4,10,35,8,99,658,0.441
