"[run number]","proportion_of_habitat","matrix_permeability","perceptual_range","vision_angle","random-seed","[step]","total_crossings","assess_top_sections","siminputrow"
1,48,31,13,113,-1103580954,499,535,0.48,1
1,73,52,9,169,-1103580954,499,575,0.431,2
1,22,43,19,156,-1103580954,499,826,0.574,3
1,66,53,21,136,-1103580954,499,835,0.399,4
1,34,65,8,105,-1103580954,499,648,0.36,5
1,58,39,38,113,-1103580954,499,900,0.492,6
1,51,73,36,151,-1103580954,499,877,0.472,7
1,22,45,40,137,-1103580954,499,1115,0.513,8
1,53,55,8,117,-1103580954,499,635,0.403,9
1,72,43,9,98,-1103580954,499,553,0.387,10
1,77,75,38,109,-1103580954,499,949,0.434,11
1,15,45,28,108,-1103580954,499,672,0.476,12
1,11,54,15,179,-1103580954,499,604,0.555,13
1,63,46,32,127,-1103580954,499,862,0.451,14
1,19,57,25,118,-1103580954,499,725,0.414,15
1,55,63,19,103,-1103580954,499,634,0.42,16
1,17,33,28,122,-1103580954,499,646,0.546,17
1,75,14,41,176,-1103580954,499,987,0.54,18
1,57,81,37,131,-1103580954,499,1104,0.455,19
1,16,27,9,148,-1103580954,499,651,0.594,20
1,36,37,20,144,-1103580954,499,708,0.617,21
1,60,71,21,128,-1103580954,499,722,0.417,22
1,55,63,11,152,-1103580954,499,630,0.417,23
1,21,79,12,139,-1103580954,499,549,0.406,24
1,80,41,20,119,-1103580954,499,658,0.427,25
1,65,12,30,123,-1103580954,499,902,0.449,26
1,18,71,32,166,-1103580954,499,847,0.471,27
1,76,82,39,158,-1103580954,499,963,0.51,28
1,16,59,26,133,-1103580954,499,853,0.442,29
1,16,30,39,166,-1103580954,499,930,0.518,30
1,26,45,13,177,-1103580954,499,499,0.513,31
1,41,77,29,178,-1103580954,499,1080,0.478,32
1,58,48,5,169,-1103580954,499,678,0.588,33
1,86,56,34,105,-1103580954,499,874,0.406,34
1,63,35,7,122,-1103580954,499,595,0.41,35
1,47,78,11,152,-1103580954,499,573,0.431,36
1,15,56,11,104,-1103580954,499,538,0.422,37
1,65,20,13,174,-1103580954,499,894,0.621,38
1,22,20,28,132,-1103580954,499,935,0.708,39
1,49,60,31,108,-1103580954,499,765,0.461,40
1,42,32,27,129,-1103580954,499,776,0.544,41
1,58,86,8,92,-1103580954,499,626,0.377,42
1,46,55,34,116,-1103580954,499,832,0.495,43
1,61,51,35,135,-1103580954,499,928,0.514,44
1,65,89,31,148,-1103580954,499,1018,0.443,45
1,11,79,33,92,-1103580954,499,692,0.421,46
1,15,57,16,125,-1103580954,499,719,0.388,47
1,54,51,12,179,-1103580954,499,841,0.539,48
1,14,59,34,150,-1103580954,499,820,0.477,49
1,38,13,34,156,-1103580954,499,683,0.694,50
1,60,17,28,104,-1103580954,499,755,0.505,51
1,55,35,21,130,-1103580954,499,763,0.519,52
1,67,18,9,124,-1103580954,499,680,0.459,53
1,38,67,12,129,-1103580954,499,565,0.414,54
1,49,21,39,139,-1103580954,499,933,0.75,55
1,29,20,41,153,-1103580954,499,816,0.737,56
1,70,27,34,107,-1103580954,499,881,0.423,57
1,30,71,16,151,-1103580954,499,730,0.408,58
1,81,30,22,165,-1103580954,499,622,0.508,59
1,52,53,35,154,-1103580954,499,953,0.523,60
1,27,75,27,156,-1103580954,499,799,0.456,61
1,23,67,14,146,-1103580954,499,657,0.443,62
1,76,51,19,90,-1103580954,499,646,0.416,63
1,54,40,39,147,-1103580954,499,1139,0.512,64
1,31,43,32,159,-1103580954,499,870,0.583,65
1,41,71,36,115,-1103580954,499,902,0.498,66
1,36,77,15,124,-1103580954,499,673,0.41,67
1,50,44,34,104,-1103580954,499,771,0.488,68
1,47,14,8,159,-1103580954,499,412,0.655,69
1,17,47,32,131,-1103580954,499,861,0.489,70
1,61,53,34,125,-1103580954,499,822,0.432,71
1,42,11,24,164,-1103580954,499,789,0.824,72
1,79,84,10,107,-1103580954,499,656,0.39,73
1,47,88,34,124,-1103580954,499,902,0.456,74
1,32,67,35,106,-1103580954,499,866,0.458,75
1,23,77,18,136,-1103580954,499,631,0.448,76
