"","[run number]","proportion_of_habitat","matrix_permeability","perceptual_range","vision_angle","random-seed","[step]","total_crossings","assess_top_sections","siminputrow"
"1",1,51,84,19,167,1560180808,499,562,0.496,1
"2",1,76,49,9,151,1560180808,499,573,0.511,2
"3",1,46,61,27,160,1560180808,499,629,0.507,3
"4",1,26,52,36,137,1560180808,499,932,0.598,4
"5",1,22,76,29,118,1560180808,499,717,0.438,5
"6",1,20,27,24,153,1560180808,499,423,0.693,6
"7",1,85,21,20,106,1560180808,499,638,0.417,7
"8",1,29,54,16,169,1560180808,499,692,0.646,8
"9",1,11,72,20,140,1560180808,499,730,0.419,9
"10",1,53,68,26,158,1560180808,499,797,0.448,10
"11",1,80,71,21,128,1560180808,499,692,0.387,11
"12",1,71,29,41,164,1560180808,499,1066,0.526,12
"13",1,85,53,10,164,1560180808,499,462,0.476,13
"14",1,51,30,37,132,1560180808,499,533,0.529,14
"15",1,32,72,12,106,1560180808,499,558,0.405,15
"16",1,18,79,16,111,1560180808,499,748,0.362,16
"17",1,50,77,15,172,1560180808,499,496,0.413,17
"18",1,74,63,35,136,1560180808,499,787,0.447,18
"19",1,86,41,40,152,1560180808,499,1068,0.541,19
"20",1,52,63,35,127,1560180808,499,917,0.521,20
"21",1,59,22,20,117,1560180808,499,539,0.482,21
"22",1,41,14,40,179,1560180808,499,658,0.848,22
"23",1,20,79,15,137,1560180808,499,503,0.414,23
"24",1,39,14,25,126,1560180808,499,434,0.8,24
"25",1,43,48,40,156,1560180808,499,880,0.625,25
"26",1,42,62,13,168,1560180808,499,596,0.515,26
"27",1,47,36,17,177,1560180808,499,414,0.86,27
"28",1,12,14,24,106,1560180808,499,453,0.554,28
"29",1,81,71,42,164,1560180808,499,1314,0.53,29
"30",1,12,78,17,176,1560180808,499,519,0.451,30
"31",1,84,72,9,178,1560180808,499,670,0.422,31
"32",1,73,70,34,137,1560180808,499,953,0.456,32
"33",1,59,14,16,169,1560180808,499,648,0.67,33
"34",1,44,15,32,146,1560180808,499,517,0.868,34
"35",1,14,12,24,112,1560180808,499,408,0.603,35
"36",1,84,61,20,139,1560180808,499,602,0.437,36
"37",1,86,34,17,141,1560180808,499,665,0.456,37
