N_individuals,steps,landscape_area,habitat_area,matrix_area,type_scenario,proportion_of_habitat,matrix_permeability,perceptual_range,vision_angle,total_crossings,assess_top_sections
100,500,7056,5063,1909,8,72,66,21,122,622,0.4
100,500,7056,1927,5045,8,26,86,14,136,589,0.379
100,500,7056,5588,1384,8,80,53,34,95,749,0.415
100,500,7056,5588,1384,8,80,86,34,100,957,0.416
100,500,7056,2011,4961,8,28,15,8,174,376,0.755
100,500,7056,4135,2837,8,61,70,25,149,615,0.491
100,500,7056,2011,4961,8,28,20,28,99,564,0.521
100,500,7056,5248,1724,8,75,38,23,92,606,0.403
100,500,7056,5707,1265,8,82,10,21,156,680,0.529
100,500,7056,2011,4961,8,28,49,20,142,514,0.488
100,500,7056,6151,821,8,87,77,7,178,570,0.354
100,500,7056,1331,5641,8,16,63,39,127,806,0.506
100,500,7056,3612,3360,8,55,61,38,132,707,0.475
100,500,7056,2782,4190,8,40,57,11,147,534,0.438
100,500,7056,3326,3646,8,50,19,38,128,411,0.616
100,500,7056,6234,738,8,89,59,17,130,698,0.415
100,500,7056,1778,5194,8,23,38,16,143,445,0.499
100,500,7056,3326,3646,8,50,23,28,157,247,0.644
100,500,7056,2170,4802,8,31,20,29,169,450,0.664
100,500,7056,6024,948,8,86,79,38,112,1023,0.436
100,500,7056,3503,3469,8,53,89,37,113,825,0.45
100,500,7056,2702,4270,8,38,36,38,170,685,0.628
100,500,7056,2114,4858,8,29,75,31,132,761,0.449
100,500,7056,5447,1525,8,79,20,12,129,643,0.443
100,500,7056,5588,1384,8,80,41,6,110,638,0.426
100,500,7056,1721,5251,8,22,35,6,131,527,0.416
100,500,7056,5321,1651,8,76,17,19,96,650,0.44
100,500,7056,4448,2524,8,65,54,31,145,641,0.479
100,500,7056,2736,4236,8,39,49,40,104,725,0.452
100,500,7056,5707,1265,8,82,54,17,139,730,0.41
100,500,7056,4990,1982,8,71,25,34,120,771,0.55
100,500,7056,2138,4834,8,30,38,27,132,456,0.502
100,500,7056,4227,2745,8,62,64,19,124,532,0.459
100,500,7056,4990,1982,8,71,40,28,147,539,0.581
100,500,7056,1136,5836,8,14,76,6,113,578,0.381
100,500,7056,6314,658,8,90,89,19,90,642,0.394
100,500,7056,2011,4961,8,28,33,21,111,561,0.487
100,500,7056,2296,4676,8,32,61,23,160,535,0.48
100,500,7056,6234,738,8,89,22,28,131,897,0.43
100,500,7056,4990,1982,8,71,20,34,96,670,0.469
100,500,7056,2296,4676,8,32,87,28,178,803,0.468
