run_id,N_individuals,steps,landscape_area,habitat_area,matrix_area,type_scenario,proportion_of_habitat,matrix_permeability,perceptual_range,vision_angle,mean_hab_neighbors,total_crossings,assess_top_sections
360680432757201A,100,500,7056,5588,1384,8,81.746,0.629,17.241,123.137,5.9523809523809526,899,0.366
360680432757201A,100,500,7056,5924,1048,8,84.949,0.339,28.291,124.776,5.9523809523809526,909,0.414
360680432757201A,100,500,7056,953,6019,8,10.189,0.631,7.807,109.871,1.4166666666666667,746,0.403
360680432757201A,100,500,7056,6190,782,8,88.933,0.273,19.589,109.85,5.9523809523809526,808,0.368
360680432757201A,100,500,7056,1121,5851,8,12.488,0.75,25.936,124.254,1.7380952380952381,794,0.407
360680432757201A,100,500,7056,3498,3474,8,47.473,0.679,12.074,153.493,3.761904761904762,665,0.42
360680432757201A,100,500,7056,5248,1724,8,77.517,0.258,35.228,177.151,5.9523809523809526,1627,0.487
360680432757201A,100,500,7056,1121,5851,8,12.282,0.518,16.54,112.522,1.7380952380952381,671,0.441
360680432757201A,100,500,7056,4188,2784,8,59.641,0.434,41.291,112.666,5.095238095238095,1232,0.476
360680432757201A,100,500,7056,1468,5504,8,16.97,0.522,12.424,155.219,1.880952380952381,653,0.475
360680432757201A,100,500,7056,5248,1724,8,77.552,0.884,30.096,103.176,5.9523809523809526,796,0.41
360680432757201A,100,500,7056,5924,1048,8,84.359,0.407,20.43,179.602,5.9523809523809526,1020,0.381
360680432757201A,100,500,7056,2697,4275,8,35.856,0.208,40.843,92.749,2.4166666666666665,828,0.44
360680432757201A,100,500,7056,2894,4078,8,38.782,0.392,26.98,144.097,3.0238095238095237,813,0.52
360680432757201A,100,500,7056,4075,2897,8,57.635,0.431,35.104,127.934,4.488095238095238,1192,0.43
360680432757201A,100,500,7056,1121,5851,8,12.255,0.356,36.913,92.498,1.7380952380952381,918,0.448
360680432757201A,100,500,7056,5588,1384,8,81.125,0.455,30.897,161.28,5.9523809523809526,1486,0.448
360680432757201A,100,500,7056,2244,4728,8,28.763,0.555,18.95,142.801,2.4166666666666665,597,0.429
360680432757201A,100,500,7056,5924,1048,8,84.669,0.236,20.406,117.141,5.9523809523809526,917,0.369
360680432757201A,100,500,7056,4993,1979,8,72.337,0.458,10.85,155.122,5.9523809523809526,955,0.368
360680432757201A,100,500,7056,4075,2897,8,57.397,0.645,36.374,107.737,4.488095238095238,957,0.426
360680432757201A,100,500,7056,2571,4401,8,33.765,0.293,21.388,157.945,2.4166666666666665,576,0.53
360680432757201A,100,500,7056,6118,854,8,87.889,0.779,5.006,179.721,5.9523809523809526,648,0.372
360680432757201A,100,500,7056,6190,782,8,88.186,0.469,35.14,179.747,5.9523809523809526,1314,0.571
360680432757201A,100,500,7056,1739,5233,8,20.713,0.586,11.184,99.566,1.880952380952381,662,0.415
360680432757201A,100,500,7056,4047,2925,8,55.123,0.861,10.706,117.662,4.488095238095238,582,0.383
822317163162502B,100,500,7056,3293,3679,8,44,0.368,25.912,153.374,3.630952380952381,1119,0.509
360680432757201A,100,500,7056,6217,755,8,89.182,0.228,13.403,103.338,5.9523809523809526,712,0.375
360680432757201A,100,500,7056,4075,2897,8,57.699,0.563,21.363,105.802,4.488095238095238,777,0.416
360680432757201A,100,500,7056,4053,2919,8,56.2,0.738,29.72,172.112,4.488095238095238,905,0.442
360680432757201A,100,500,7056,5745,1227,8,82.609,0.353,37.569,171.871,5.9523809523809526,1395,0.482
360680432757201A,100,500,7056,3242,3730,8,43.003,0.846,40.968,165.846,3.4523809523809526,1230,0.537
360680432757201A,100,500,7056,953,6019,8,10.683,0.62,9.022,135.539,1.4166666666666667,692,0.418
360680432757201A,100,500,7056,3824,3148,8,52.717,0.712,11.34,108.525,4.273809523809524,628,0.401
360680432757201A,100,500,7056,4993,1979,8,72.654,0.823,10.374,151.976,5.9523809523809526,615,0.367
360680432757201A,100,500,7056,4047,2925,8,55.673,0.826,27.51,126.504,4.488095238095238,749,0.431
360680432757201A,100,500,7056,2299,4673,8,29.108,0.165,20.702,138.613,2.4166666666666665,576,0.556
360680432757201A,100,500,7056,6007,965,8,85.369,0.372,14.773,145.501,5.9523809523809526,847,0.371
360680432757201A,100,500,7056,3185,3787,8,42.179,0.352,18.105,131.984,3.4523809523809526,587,0.446
360680432757201A,100,500,7056,1474,5498,8,17.335,0.898,5.66,172.43,1.880952380952381,694,0.352
360680432757201A,100,500,7056,5449,1523,8,79.636,0.808,32.507,100.379,5.9523809523809526,856,0.404
360680432757201A,100,500,7056,2308,4664,8,30.763,0.704,27.088,148.524,2.4166666666666665,888,0.447
360680432757201A,100,500,7056,1234,5738,8,13.121,0.526,20.355,114.785,1.7380952380952381,654,0.437
360680432757201A,100,500,7056,1105,5867,8,11.978,0.318,30.376,135.786,1.4166666666666667,866,0.51
360680432757201A,100,500,7056,3738,3234,8,51.903,0.755,9.893,129.28,4.273809523809524,702,0.37
360680432757201A,100,500,7056,2308,4664,8,30.321,0.74,25.653,161.545,2.4166666666666665,970,0.422
360680432757201A,100,500,7056,1800,5172,8,22.62,0.797,28.416,164.118,1.880952380952381,810,0.459
360680432757201A,100,500,7056,1121,5851,8,12.814,0.817,8.802,113.082,1.7380952380952381,614,0.362
360680432757201A,100,500,7056,5588,1384,8,81.067,0.301,40.31,156.966,5.9523809523809526,1494,0.551
360680432757201A,100,500,7056,1439,5533,8,15.479,0.529,26.039,147.605,1.880952380952381,823,0.481
360680432757201A,100,500,7056,6118,854,8,87.744,0.716,18.316,176.698,5.9523809523809526,773,0.402
360680432757201A,100,500,7056,3031,3941,8,39.163,0.529,20.226,136.954,3.0238095238095237,641,0.434
360680432757201A,100,500,7056,4047,2925,8,55.717,0.106,33.919,99.729,4.488095238095238,1066,0.406
360680432757201A,100,500,7056,4926,2046,8,71.719,0.894,23.486,114.334,5.9523809523809526,771,0.388
360680432757201A,100,500,7056,1800,5172,8,22.696,0.865,8.334,98.858,1.880952380952381,599,0.396
360680432757201A,100,500,7056,4887,2085,8,70.354,0.203,16.293,128.732,5.9523809523809526,1237,0.391
360680432757201A,100,500,7056,4075,2897,8,57.386,0.14,36.204,96.559,4.488095238095238,1179,0.394
360680432757201A,100,500,7056,2374,4598,8,31.681,0.264,19.532,169.466,2.4166666666666665,477,0.618
360680432757201A,100,500,7056,5173,1799,8,76.484,0.557,32.835,147.681,5.9523809523809526,1184,0.437
360680432757201A,100,500,7056,5137,1835,8,74.708,0.21,28.934,177.776,5.9523809523809526,1490,0.446
360680432757201A,100,500,7056,1739,5233,8,20.839,0.802,28.273,164.854,1.880952380952381,820,0.435
360680432757201A,100,500,7056,1903,5069,8,23.053,0.479,15.293,163.257,1.880952380952381,567,0.557
360680432757201A,100,500,7056,3563,3409,8,48.755,0.702,27.01,171.527,3.761904761904762,1010,0.473
360680432757201A,100,500,7056,6118,854,8,87.286,0.192,19.661,122.02,5.9523809523809526,947,0.386
360680432757201A,100,500,7056,4993,1979,8,72.09,0.26,32.445,150.602,5.9523809523809526,1716,0.461
360680432757201A,100,500,7056,5155,1817,8,75.524,0.605,19.235,113.972,5.9523809523809526,931,0.385
360680432757201A,100,500,7056,2039,4933,8,25.604,0.656,26.601,127.795,1.880952380952381,719,0.452
360680432757201A,100,500,7056,1121,5851,8,12.178,0.548,15.222,153.753,1.7380952380952381,752,0.438
360680432757201A,100,500,7056,1960,5012,8,24.704,0.368,13.49,160.145,1.880952380952381,535,0.697
360680432757201A,100,500,7056,4075,2897,8,57.141,0.782,24.256,115.596,4.488095238095238,742,0.429
360680432757201A,100,500,7056,4289,2683,8,61.779,0.716,26.66,127.314,5.095238095238095,940,0.411
360680432757201A,100,500,7056,3563,3409,8,48.392,0.133,25.477,113.679,3.761904761904762,915,0.485
360680432757201A,100,500,7056,1439,5533,8,15.114,0.567,21.003,113.107,1.880952380952381,786,0.406
360680432757201A,100,500,7056,2374,4598,8,31.283,0.309,20.503,173.428,2.4166666666666665,600,0.54
360680432757201A,100,500,7056,2622,4350,8,34.269,0.308,24.289,109.203,2.4166666666666665,703,0.455
360680432757201A,100,500,7056,3824,3148,8,52.388,0.348,14.515,177.13,4.273809523809524,864,0.637
360680432757201A,100,500,7056,2622,4350,8,34.039,0.165,19.947,144.343,2.4166666666666665,545,0.617
360680432757201A,100,500,7056,4166,2806,8,58.979,0.392,24.679,173.049,5.095238095238095,1554,0.488
360680432757201A,100,500,7056,5808,1164,8,83.863,0.139,27.308,153.816,5.9523809523809526,1121,0.406
360680432757201A,100,500,7056,4207,2765,8,60.973,0.81,39.478,109.087,5.095238095238095,981,0.459
360680432757201A,100,500,7056,3584,3388,8,49.21,0.807,12.277,166.428,3.761904761904762,661,0.38
360680432757201A,100,500,7056,1800,5172,8,22.163,0.346,29.775,111.469,1.880952380952381,844,0.502
360680432757201A,100,500,7056,2894,4078,8,38.097,0.701,20.16,176.573,3.0238095238095237,681,0.476
360680432757201A,100,500,7056,3563,3409,8,48.281,0.29,19.907,167.98,3.761904761904762,1075,0.624
360680432757201A,100,500,7056,4500,2472,8,65.247,0.659,29.088,111.824,5.095238095238095,902,0.433
360680432757201A,100,500,7056,3329,3643,8,45.264,0.276,5.954,116.115,3.511904761904762,787,0.396
360680432757201A,100,500,7056,1616,5356,8,18.478,0.496,27.165,96.018,1.880952380952381,705,0.489
360680432757201A,100,500,7056,1468,5504,8,16.9,0.191,35.108,166.368,1.880952380952381,736,0.724
360680432757201A,100,500,7056,5173,1799,8,76.137,0.147,32.802,134.854,5.9523809523809526,1563,0.431
360680432757201A,100,500,7056,4047,2925,8,55.613,0.241,38.776,127.078,4.488095238095238,1377,0.461
360680432757201A,100,500,7056,4887,2085,8,70.482,0.485,35.758,140.61,5.9523809523809526,1497,0.455
360680432757201A,100,500,7056,3563,3409,8,48.972,0.514,34.037,125.248,3.761904761904762,1050,0.451
360680432757201A,100,500,7056,5155,1817,8,75.436,0.875,26.281,161.733,5.9523809523809526,912,0.413
360680432757201A,100,500,7056,2457,4515,8,32.589,0.409,23.766,154.675,2.4166666666666665,712,0.433
360680432757201A,100,500,7056,4166,2806,8,58.067,0.727,31.597,137.333,5.095238095238095,1038,0.465
360680432757201A,100,500,7056,2622,4350,8,34.856,0.805,26.731,104.181,2.4166666666666665,725,0.397
360680432757201A,100,500,7056,4421,2551,8,62.906,0.362,37.507,95.337,5.095238095238095,1091,0.418
360680432757201A,100,500,7056,4289,2683,8,61.626,0.681,15.658,94.98,5.095238095238095,674,0.386
360680432757201A,100,500,7056,1474,5498,8,17.716,0.766,5.596,134.97,1.880952380952381,513,0.384
360680432757201A,100,500,7056,4993,1979,8,72.749,0.691,41.264,112.542,5.9523809523809526,1165,0.464
360680432757201A,100,500,7056,4289,2683,8,61.033,0.497,39.999,142.711,5.095238095238095,1378,0.515
360680432757201A,100,500,7056,4053,2919,8,56.151,0.463,9.404,116.343,4.488095238095238,699,0.389
360680432757201A,100,500,7056,2806,4166,8,36.304,0.243,29.312,174.056,3.0238095238095237,808,0.657
360680432757201A,100,500,7056,5326,1646,8,78.208,0.359,29.371,121.683,5.9523809523809526,1157,0.384
360680432757201A,100,500,7056,2697,4275,8,35.425,0.477,23.63,90.841,2.4166666666666665,701,0.404
360680432757201A,100,500,7056,3031,3941,8,39.941,0.613,38.991,148.136,3.0238095238095237,1034,0.49
360680432757201A,100,500,7056,3584,3388,8,49.355,0.83,17.913,124.924,3.761904761904762,733,0.42
360680432757201A,100,500,7056,3185,3787,8,42.358,0.844,7.261,155.402,3.4523809523809526,653,0.395
360680432757201A,100,500,7056,3329,3643,8,45.673,0.345,30.563,109.827,3.511904761904762,920,0.407
360680432757201A,100,500,7056,1616,5356,8,18.845,0.539,24.968,177.922,1.880952380952381,767,0.536
360680432757201A,100,500,7056,4926,2046,8,71.646,0.223,40.696,178.248,5.9523809523809526,1913,0.594
360680432757201A,100,500,7056,3498,3474,8,47.747,0.588,29.76,161.008,3.761904761904762,1010,0.472
360680432757201A,100,500,7056,5808,1164,8,83.631,0.676,29.684,99.968,5.9523809523809526,725,0.422
360680432757201A,100,500,7056,4785,2187,8,68.332,0.346,8.954,166.95,5.9523809523809526,946,0.359
360680432757201A,100,500,7056,3113,3859,8,40.703,0.126,37.663,136.243,3.0238095238095237,1099,0.498
360680432757201A,100,500,7056,5506,1466,8,80.638,0.524,19.272,143.52,5.9523809523809526,793,0.381
360680432757201A,100,500,7056,5050,1922,8,73.586,0.59,33.029,97.308,5.9523809523809526,980,0.414
360680432757201A,100,500,7056,3031,3941,8,39.492,0.279,41.332,170.019,3.0238095238095237,1046,0.551
360680432757201A,100,500,7056,2169,4803,8,27.219,0.594,31.971,98.999,2.4166666666666665,814,0.452
360680432757201A,100,500,7056,6086,886,8,86.115,0.288,24.952,159.105,5.9523809523809526,1132,0.419
360680432757201A,100,500,7056,5808,1164,8,83.5,0.14,16.371,123.322,5.9523809523809526,896,0.364
360680432757201A,100,500,7056,4075,2897,8,57.062,0.107,9.486,141.302,4.488095238095238,761,0.463
360680432757201A,100,500,7056,1706,5266,8,19.523,0.755,33.684,160.966,1.880952380952381,987,0.481
360680432757201A,100,500,7056,3242,3730,8,43.242,0.568,15.519,116.654,3.4523809523809526,710,0.417
360680432757201A,100,500,7056,953,6019,8,10.979,0.411,35.746,102.252,1.4166666666666667,987,0.433
360680432757201A,100,500,7056,2826,4146,8,37.539,0.116,10.985,142.011,3.0238095238095237,630,0.629
360680432757201A,100,500,7056,4805,2167,8,69.428,0.88,9.117,170.539,5.9523809523809526,691,0.391
360680432757201A,100,500,7056,5924,1048,8,84.914,0.445,34.64,111.232,5.9523809523809526,1003,0.44
360680432757201A,100,500,7056,2457,4515,8,32.47,0.165,18.997,126.823,2.4166666666666665,612,0.507
360680432757201A,100,500,7056,1468,5504,8,16.391,0.187,31.702,174.36,1.880952380952381,612,0.742
360680432757201A,100,500,7056,2826,4146,8,37.267,0.191,26.757,98.434,3.0238095238095237,729,0.468
360680432757201A,100,500,7056,3166,3806,8,41.714,0.397,29.058,177.206,3.4523809523809526,936,0.473
360680432757201A,100,500,7056,6118,854,8,87.413,0.775,35.878,116.573,5.9523809523809526,919,0.456
360680432757201A,100,500,7056,3031,3941,8,39.977,0.555,18.601,92.41,3.0238095238095237,643,0.365
360680432757201A,100,500,7056,4166,2806,8,58.31,0.585,20.183,164.823,5.095238095238095,1018,0.457
360680432757201A,100,500,7056,5155,1817,8,75.901,0.636,5.647,174.238,5.9523809523809526,646,0.378
360680432757201A,100,500,7056,3824,3148,8,52.48,0.892,37.264,148.108,4.273809523809524,1074,0.455
360680432757201A,100,500,7056,5745,1227,8,82.964,0.317,16.476,124.997,5.9523809523809526,863,0.362
360680432757201A,100,500,7056,6007,965,8,85.121,0.371,6.803,152.484,5.9523809523809526,768,0.374
360680432757201A,100,500,7056,6190,782,8,88.453,0.313,27.916,173.468,5.9523809523809526,1068,0.425
360680432757201A,100,500,7056,5137,1835,8,74.721,0.864,33.949,139.709,5.9523809523809526,947,0.447
360680432757201A,100,500,7056,5808,1164,8,83.324,0.328,11.279,103.921,5.9523809523809526,767,0.356
360680432757201A,100,500,7056,4469,2503,8,63.011,0.559,23.316,149.364,5.095238095238095,1013,0.419
360680432757201A,100,500,7056,4075,2897,8,57.097,0.847,33.168,139.368,4.488095238095238,921,0.436
360680432757201A,100,500,7056,3166,3806,8,41.225,0.894,22.272,147.944,3.4523809523809526,833,0.387
360680432757201A,100,500,7056,3917,3055,8,53.338,0.24,21.396,114.854,4.273809523809524,1030,0.458
360680432757201A,100,500,7056,6118,854,8,87.532,0.545,5.606,173.649,5.9523809523809526,640,0.409
360680432757201A,100,500,7056,2244,4728,8,28.103,0.189,35.495,99.066,2.4166666666666665,895,0.428
360680432757201A,100,500,7056,4188,2784,8,59.513,0.451,30.664,121.987,5.095238095238095,1171,0.456
360680432757201A,100,500,7056,2244,4728,8,28.607,0.521,12.72,156.81,2.4166666666666665,689,0.472
360680432757201A,100,500,7056,2697,4275,8,35.941,0.579,28.777,136.188,2.4166666666666665,822,0.464
360680432757201A,100,500,7056,3411,3561,8,46.926,0.23,7.655,172.272,3.619047619047619,788,0.516
360680432757201A,100,500,7056,4025,2947,8,54.709,0.829,23.108,113.252,4.273809523809524,717,0.379
360680432757201A,100,500,7056,4926,2046,8,71.154,0.717,19.204,96.378,5.9523809523809526,669,0.371
360680432757201A,100,500,7056,4887,2085,8,70.008,0.168,19.74,109.551,5.9523809523809526,1049,0.385
360680432757201A,100,500,7056,4075,2897,8,57.725,0.773,20.55,159.508,4.488095238095238,744,0.421
