"","[run number]","matrix_permeability","perceptual_range","vision_angle","scenario","random-seed","[step]","total_crossings","assess_top_sections","siminputrow"
"1",1,21,39,152,3,-741671208,499,1010,0.903,1
"2",1,20,39,91,3,-741671208,499,869,0.697,2
"3",1,66,25,166,4,-741671208,499,1185,0.417,3
"4",1,47,20,142,6,-741671208,499,633,0.468,4
"5",1,80,29,137,3,-741671208,499,750,0.484,5
"6",1,82,6,163,3,-741671208,499,437,0.387,6
"7",1,32,18,140,1,-741671208,499,1151,0.638,7
"8",1,11,27,166,2,-741671208,499,2194,0.764,8
"9",1,26,7,101,1,-741671208,499,716,0.411,9
"10",1,54,23,172,1,-741671208,499,1429,0.687,10
"11",1,43,37,103,3,-741671208,499,835,0.568,11
"12",1,26,6,129,7,-741671208,499,313,0.415,12
"13",1,90,11,160,1,-741671208,499,741,0.385,13
"14",1,49,16,170,2,-741671208,499,1137,0.617,14
"15",1,70,30,99,5,-741671208,499,684,0.402,15
"16",1,75,24,102,4,-741671208,499,784,0.38,16
"17",1,48,29,168,3,-741671208,499,537,0.609,17
"18",1,19,22,123,7,-741671208,499,189,0.534,18
"19",1,61,41,120,5,-741671208,499,1024,0.459,19
"20",1,71,33,151,6,-741671208,499,804,0.471,20
"21",1,74,23,137,1,-741671208,499,1012,0.502,21
"22",1,51,23,176,4,-741671208,499,1402,0.411,22
"23",1,54,35,131,2,-741671208,499,1421,0.519,23
"24",1,53,41,168,1,-741671208,499,2153,0.787,24
"25",1,55,27,129,1,-741671208,499,1221,0.639,25
"26",1,41,19,135,6,-741671208,499,614,0.45,26
"27",1,57,36,136,2,-741671208,499,1471,0.515,27
"28",1,23,10,147,3,-741671208,499,92,0.576,28
"29",1,34,10,143,4,-741671208,499,677,0.592,29
"30",1,40,8,98,2,-741671208,499,709,0.403,30
"31",1,76,21,166,4,-741671208,499,807,0.425,31
"32",1,72,32,143,5,-741671208,499,843,0.44,32
"33",1,73,16,140,4,-741671208,499,816,0.382,33
"34",1,59,30,106,4,-741671208,499,860,0.401,34
"35",1,68,7,143,3,-741671208,499,593,0.388,35
"36",1,12,8,160,3,-741671208,499,28,0.857,36
"37",1,44,36,169,3,-741671208,499,954,0.795,37
"38",1,73,32,128,3,-741671208,499,805,0.519,38
"39",1,14,13,173,3,-741671208,499,20,1,39
"40",1,86,11,111,3,-741671208,499,554,0.379,40
"41",1,72,41,94,5,-741671208,499,906,0.457,41
"42",1,83,11,118,2,-741671208,499,629,0.383,42
"43",1,77,40,159,7,-741671208,499,966,0.517,43
"44",1,38,18,134,1,-741671208,499,1192,0.618,44
"45",1,57,26,168,3,-741671208,499,474,0.586,45
"46",1,36,22,115,7,-741671208,499,348,0.428,46
"47",1,36,8,118,2,-741671208,499,661,0.425,47
"48",1,57,23,165,3,-741671208,499,364,0.571,48
"49",1,75,30,169,6,-741671208,499,914,0.417,49
"50",1,82,17,146,2,-741671208,499,771,0.407,50
"51",1,77,13,177,2,-741671208,499,758,0.422,51
"52",1,17,20,101,4,-741671208,499,1145,0.424,52
"53",1,35,8,99,4,-741671208,499,658,0.441,53
"54",1,79,18,155,2,-741671208,499,851,0.481,54
"55",1,89,30,145,4,-741671208,499,926,0.448,55
