"run_id","habitat_patches"
"1002896C.asc","12"
"1004369A.asc","8"
"1004405C.asc","11"
"1009025E.asc","2"
"1010892B.asc","17"
"1012642E.asc","4"
"1013484E.asc","7"
"1013550D.asc","4"
"101392C.asc","9"
"1013948D.asc","7"
"1014843A.asc","12"
"1014918C.asc","16"
"101516D.asc","12"
"1015344D.asc","11"
"1015381E.asc","8"
"1016114D.asc","15"
"101787B.asc","2"
"1019234E.asc","9"
"1019680C.asc","11"
"1021083B.asc","10"
"1024124A.asc","17"
"1025414E.asc","12"
"1026029A.asc","2"
"1027178D.asc","12"
"1027348C.asc","6"
"1027464C.asc","9"
"1030115C.asc","6"
"1031441C.asc","8"
"1033686E.asc","3"
"1034154A.asc","6"
"1034352B.asc","3"
"1034894B.asc","3"
"1038594A.asc","11"
"1039036D.asc","2"
"1039601C.asc","13"
"1041273B.asc","13"
"1042573C.asc","15"
"1043095A.asc","8"
"1045243C.asc","8"
"1045567B.asc","8"
"104567C.asc","17"
"1045744E.asc","8"
"1046264D.asc","14"
"1046494E.asc","10"
"1047336B.asc","4"
"1047462B.asc","7"
"1048052C.asc","11"
"1049055B.asc","19"
"1049805E.asc","8"
"1050463C.asc","3"
"1050465D.asc","4"
"1050886B.asc","10"
"1053591E.asc","7"
"1053861E.asc","12"
"1054813A.asc","8"
"1055217E.asc","16"
"1055632B.asc","7"
"1056292E.asc","8"
"1060058D.asc","8"
"106190A.asc","8"
"1062205E.asc","8"
"1062353C.asc","4"
"1064948B.asc","2"
"1065860A.asc","3"
"1066564B.asc","4"
"1066887C.asc","11"
"1066910E.asc","16"
"1066959B.asc","15"
"1067686D.asc","4"
"1068161C.asc","16"
"1068844A.asc","4"
"106898C.asc","5"
"1069413C.asc","17"
"1069904A.asc","2"
"1070043C.asc","4"
"1070339D.asc","5"
"1070383A.asc","10"
"1070450E.asc","15"
"1071200E.asc","4"
"1071390B.asc","4"
"1071687D.asc","18"
"1072649E.asc","15"
"1073075D.asc","2"
"1073402C.asc","10"
"1074715D.asc","8"
"1074750E.asc","10"
"1075167C.asc","7"
"1076838B.asc","10"
"1078311A.asc","8"
"1078454D.asc","5"
"1078532A.asc","10"
"1078829D.asc","13"
"1078916B.asc","2"
"1079800E.asc","8"
"1080095C.asc","2"
"1081182E.asc","13"
"1087146A.asc","2"
"1087633C.asc","11"
"1087670E.asc","9"
"1088730C.asc","4"
"1088934D.asc","7"
"1091988B.asc","6"
"1092342E.asc","6"
"1096653B.asc","19"
"1097822E.asc","10"
"1099498C.asc","3"
"1100159B.asc","4"
"1100486C.asc","12"
"1102663E.asc","10"
"1104031C.asc","7"
"1104902C.asc","2"
"1105458C.asc","9"
"11060E.asc","3"
"1109044D.asc","5"
"1111753D.asc","15"
"1112052A.asc","12"
"1112175C.asc","10"
"1112559E.asc","14"
"1112978C.asc","4"
"1113549A.asc","11"
"1114771E.asc","7"
"1116872C.asc","13"
"1117517B.asc","17"
"1117594A.asc","5"
"1118735A.asc","4"
"1118938D.asc","12"
"1119552D.asc","7"
"1119574E.asc","2"
"1119597C.asc","7"
"1122417E.asc","3"
"1122723D.asc","2"
"1122960E.asc","9"
"1123011B.asc","3"
"1123243E.asc","12"
"1123348D.asc","13"
"1123679D.asc","4"
"1124713A.asc","10"
"1126627C.asc","4"
"11274D.asc","5"
"1128559E.asc","6"
"1129949E.asc","2"
"1130164D.asc","4"
"1130497A.asc","7"
"1130716A.asc","13"
"113118A.asc","9"
"1131274B.asc","15"
"1131849E.asc","6"
"1134311E.asc","2"
"1136643B.asc","9"
"1137033A.asc","4"
"1137593C.asc","2"
"1137666B.asc","15"
"1137753B.asc","4"
"1138376A.asc","4"
"1140308D.asc","12"
"1141146E.asc","5"
"1141557C.asc","14"
"1142390A.asc","5"
"1144877B.asc","16"
"1145994B.asc","8"
"1146262B.asc","13"
"114825A.asc","13"
"1150446A.asc","14"
"1151257B.asc","3"
"1151712E.asc","13"
"115422A.asc","16"
"1155553A.asc","4"
"1156537D.asc","13"
"1157A.asc","15"
"1158781E.asc","3"
"1158931C.asc","5"
"1159264C.asc","3"
"1159898B.asc","8"
"1160214C.asc","2"
"1160708D.asc","7"
"1162136B.asc","11"
"1163921E.asc","10"
"1163925A.asc","13"
"1165959A.asc","13"
"1166023C.asc","4"
"1166160A.asc","5"
"1168331D.asc","4"
"1171415C.asc","12"
"1171773B.asc","2"
"1172861D.asc","17"
"1174613D.asc","4"
"1175499A.asc","4"
"1176459E.asc","12"
"1177138D.asc","3"
"1179655A.asc","4"
"1181105A.asc","15"
"1181654C.asc","14"
"118248D.asc","12"
"1186341C.asc","5"
"1186961C.asc","7"
"1187449B.asc","2"
"1189954D.asc","11"
"1189976D.asc","12"
"1190386B.asc","2"
"1191223D.asc","5"
"1192645E.asc","11"
"1193345B.asc","12"
"1195854D.asc","16"
"1196583D.asc","5"
"1197124C.asc","4"
"1197648C.asc","5"
"1197843C.asc","3"
"1198238A.asc","15"
"1199432D.asc","12"
"1200342E.asc","14"
"1200870E.asc","3"
"1203794D.asc","7"
"1205461E.asc","12"
"120732B.asc","3"
"1207900A.asc","15"
"1209209E.asc","11"
"1209689C.asc","11"
"1210497D.asc","16"
"1212628E.asc","3"
"1215468D.asc","12"
"12180C.asc","8"
"1218171B.asc","5"
"1218419B.asc","15"
"1223612A.asc","12"
"1223980C.asc","7"
"1224009E.asc","12"
"1224188A.asc","9"
"1229914A.asc","6"
"1234150B.asc","16"
"1234258C.asc","2"
"1234327A.asc","13"
"1234845D.asc","3"
"123584C.asc","6"
"1236158B.asc","16"
"1237846D.asc","6"
"1238148D.asc","14"
"1238242C.asc","12"
"1238597B.asc","6"
"1239151A.asc","2"
"1239263E.asc","7"
"1239266C.asc","10"
"124000A.asc","11"
"1240271E.asc","13"
"124136E.asc","4"
"1243829E.asc","17"
"1244222E.asc","4"
"1245631A.asc","12"
"1245822D.asc","10"
"1248184B.asc","12"
"1248253D.asc","12"
"1248663E.asc","15"
"1249523B.asc","9"
"1249625D.asc","10"
"1250009C.asc","14"
"1250575E.asc","12"
"1250770C.asc","16"
"1253139B.asc","15"
"1253559D.asc","4"
"1260946D.asc","7"
"126282E.asc","8"
"1265610E.asc","8"
"1265738C.asc","14"
"126586D.asc","16"
"1266121B.asc","7"
"1267124D.asc","10"
"1267256D.asc","15"
"1268425B.asc","13"
"1271260D.asc","13"
"1272255E.asc","16"
"1272758B.asc","2"
"1275076E.asc","3"
"1275966C.asc","3"
"1276599C.asc","5"
"1276794A.asc","9"
"1277938C.asc","13"
"1277969E.asc","4"
"1277983D.asc","13"
"1278498B.asc","2"
"1279026C.asc","3"
"1279093D.asc","2"
"1280741C.asc","14"
"1281033E.asc","5"
"1286085C.asc","15"
"1286823C.asc","10"
"1287839C.asc","11"
"1288264B.asc","5"
"1288679A.asc","12"
"1289219C.asc","14"
"1289396B.asc","5"
"1290421C.asc","9"
"1291537E.asc","4"
"1291701B.asc","2"
"1292528B.asc","4"
"1293566C.asc","15"
"1295079C.asc","17"
"1295401E.asc","5"
"129600B.asc","2"
"129618A.asc","14"
"1296840C.asc","5"
"1296952B.asc","5"
"1297018B.asc","9"
"1298644B.asc","13"
"1298830E.asc","2"
"1299448C.asc","2"
"1300155D.asc","6"
"1300910B.asc","17"
"1301647A.asc","13"
"1302018B.asc","8"
"1302841D.asc","18"
"130547E.asc","13"
"1305610A.asc","13"
"1306529C.asc","12"
"13109A.asc","5"
"1311955A.asc","9"
"1313041C.asc","13"
"1314284B.asc","2"
"1314341A.asc","13"
"1314353B.asc","11"
"131762B.asc","11"
"1319762C.asc","8"
"1319874A.asc","13"
"1322169E.asc","6"
"1323252C.asc","2"
"1327128D.asc","2"
"1327737A.asc","2"
"132786D.asc","10"
"1328536A.asc","19"
"1328690E.asc","14"
"1329478C.asc","6"
"1331168C.asc","3"
"1331179E.asc","24"
"1331950D.asc","4"
"1332352C.asc","6"
"1332687E.asc","13"
"1332728C.asc","14"
"133295B.asc","9"
"13350B.asc","6"
"1335868D.asc","11"
"1337176D.asc","13"
"133856D.asc","2"
"1338577B.asc","15"
"1338587D.asc","14"
"1339267C.asc","17"
"1339978A.asc","10"
"1340447A.asc","13"
"1342032D.asc","10"
"1342989A.asc","2"
"1343159B.asc","2"
"1343784D.asc","3"
"1344347E.asc","3"
"1344362E.asc","2"
"1345346B.asc","3"
"1345880E.asc","15"
"1345898B.asc","12"
"1347303E.asc","13"
"1347412B.asc","8"
"1347919D.asc","15"
"1349687E.asc","9"
"1351391B.asc","5"
"1351945E.asc","5"
"1352163D.asc","2"
