"[run number]","proportion_of_habitat","matrix_permeability","perceptual_range","vision_angle","[step]","total_crossings","assess_top_sections","siminputrow","run_id","N_individuals","steps","landscape_area","habitat_area","matrix_area","type_scenario","mean_hab_neighbors"
2,51.151,0.794,19.132,96.94,499,744,0.382,1,"215478855248850C",100,500,7056,3468,3504,8,3.75
2,72.043,0.836,15.007,91.504,499,661,0.377,2,"290737620761799E",100,500,7056,4966,2006,8,3.55952380952381
2,83.936,0.447,5.172,116.513,499,638,0.379,3,"354721953167898D",100,500,7056,5670,1302,8,5.53571428571429
2,42.646,0.208,12.801,178.535,499,832,0.541,4,"860848157122540C",100,500,7056,2717,4255,8,3.39285714285714
2,30.294,0.33,18.664,173.376,499,951,0.674,5,"571743820296981C",100,500,7056,2349,4623,8,2.79761904761905
2,20.971,0.583,6.528,109.738,499,507,0.365,6,"776607930896288D",100,500,7056,992,5980,8,0.154761904761905
2,46.308,0.198,16.563,134.481,499,555,0.845,7,"602485735882852A",100,500,7056,3219,3753,8,1.83333333333333
2,36.887,0.216,18.369,94.513,499,752,0.493,8,"334240997162504D",100,500,7056,2282,4690,8,2.32142857142857
2,14.438,0.855,15.806,133.289,499,659,0.384,9,"84597890357426C",100,500,7056,905,6067,8,0.607142857142857
2,18.786,0.603,6.888,107.008,499,476,0.395,10,"355707461711033C",100,500,7056,1225,5747,8,0.821428571428571
2,42.195,0.719,7.445,98.868,499,500,0.384,11,"75702515990692B",100,500,7056,3106,3866,8,1.95238095238095
2,74.975,0.814,14.455,179.671,499,649,0.407,12,"747082117675050A",100,500,7056,5328,1644,8,5.23809523809524
2,30.984,0.184,14.202,162.117,499,1512,0.59,13,"932060379677178A",100,500,7056,1959,5013,8,2.32142857142857
2,85.889,0.7,19.835,160.123,499,711,0.404,14,"172924698039238C",100,500,7056,5960,1012,8,5.70238095238095
2,44.803,0.684,7.872,102.298,499,573,0.38,15,"418940004047570D",100,500,7056,3525,3447,8,2.58333333333333
2,17.949,0.493,7.794,108.294,499,479,0.365,16,"36055534225123A",100,500,7056,1294,5678,8,0.630952380952381
2,10.668,0.368,15.586,100.636,499,550,0.442,17,"529026780926443D",100,500,7056,584,6388,8,0.214285714285714
