run-id,N_individuals,steps,landscape_area,habitat_area,matrix_area,type_scenario,proportion_habitat_random,perceptual-range,matrix-permeability,mean_hab_neighbors,total_crossings,assess-top-sections
5506,100,1000,7056,1610,5362,random,20,5,0.1,1,797,0.883
8800,100,1000,7056,1529,5443,random,20,5,0.1,1.8928571428571428,2120,0.842
8326,100,1000,7056,1305,5667,random,20,5,0.1,1.6785714285714286,2038,0.745
9180,100,1000,7056,1260,5712,random,20,5,0.1,1.1428571428571428,1240,0.8
1707,100,1000,7056,1308,5664,random,20,5,0.1,2.3095238095238093,2895,0.755
2610,100,1000,7056,1547,5425,random,20,5,0.1,1.6904761904761905,1256,0.861
8096,100,1000,7056,1521,5451,random,20,5,0.1,1.1547619047619047,1340,0.9
7126,100,1000,7056,1270,5702,random,20,5,0.1,0.13095238095238096,298,0.52
9990,100,1000,7056,1610,5362,random,20,5,0.1,1.2857142857142858,1034,0.818
9569,100,1000,7056,1268,5704,random,20,5,0.1,1.0714285714285714,1448,0.871
6634,100,1000,7056,1416,5556,random,20,5,0.1,0.4642857142857143,492,0.754
1228,100,1000,7056,1556,5416,random,20,5,0.1,1.2142857142857142,944,0.865
9481,100,1000,7056,1276,5696,random,20,5,0.1,3.0238095238095237,3029,0.627
1846,100,1000,7056,1375,5597,random,20,5,0.1,1.7857142857142858,1183,0.75
9410,100,1000,7056,1618,5354,random,20,5,0.1,1.4642857142857142,1427,0.881
4090,100,1000,7056,1284,5688,random,20,5,0.1,0.5357142857142857,311,0.682
4774,100,1000,7056,1555,5417,random,20,5,0.1,1.3333333333333333,2135,0.913
7828,100,1000,7056,1142,5830,random,20,5,0.1,2.142857142857143,2396,0.73
9194,100,1000,7056,1459,5513,random,20,5,0.1,1.0476190476190477,759,0.868
2663,100,1000,7056,1487,5485,random,20,5,0.1,0.30952380952380953,325,0.738
3647,100,1000,7056,1675,5297,random,20,5,0.2,1.8928571428571428,1524,0.778
5339,100,1000,7056,1398,5574,random,20,5,0.2,0.8214285714285714,809,0.829
8385,100,1000,7056,1178,5794,random,20,5,0.2,0.14285714285714285,433,0.436
3584,100,1000,7056,1302,5670,random,20,5,0.2,0.3333333333333333,527,0.56
7830,100,1000,7056,1508,5464,random,20,5,0.2,1.9642857142857142,1751,0.734
5203,100,1000,7056,1376,5596,random,20,5,0.2,0.6428571428571429,982,0.614
2367,100,1000,7056,1482,5490,random,20,5,0.2,1.6904761904761905,1260,0.621
4695,100,1000,7056,1895,5077,random,20,5,0.2,2.738095238095238,1731,0.622
2255,100,1000,7056,1431,5541,random,20,5,0.2,1.8214285714285714,2228,0.771
1323,100,1000,7056,1184,5788,random,20,5,0.2,0.9642857142857143,1319,0.777
5498,100,1000,7056,1496,5476,random,20,5,0.2,0.7619047619047619,875,0.76
3388,100,1000,7056,1404,5568,random,20,5,0.2,2.261904761904762,2186,0.721
4530,100,1000,7056,1220,5752,random,20,5,0.2,0.7857142857142857,921,0.662
8576,100,1000,7056,1302,5670,random,20,5,0.2,1.7857142857142858,1686,0.747
2731,100,1000,7056,1490,5482,random,20,5,0.2,1.2857142857142858,1616,0.825
3982,100,1000,7056,1175,5797,random,20,5,0.2,1.7857142857142858,1636,0.63
7229,100,1000,7056,1985,4987,random,20,5,0.2,0.6904761904761905,439,0.69
5212,100,1000,7056,1183,5789,random,20,5,0.2,0.4642857142857143,578,0.633
3254,100,1000,7056,1584,5388,random,20,5,0.2,0.21428571428571427,282,0.514
5159,100,1000,7056,1162,5810,random,20,5,0.3,0.9404761904761905,1002,0.469
8669,100,1000,7056,1665,5307,random,20,5,0.3,2.2857142857142856,1869,0.571
9587,100,1000,7056,1362,5610,random,20,5,0.3,0.4642857142857143,672,0.549
8164,100,1000,7056,1365,5607,random,20,5,0.3,1.5595238095238095,1483,0.697
5415,100,1000,7056,1108,5864,random,20,5,0.2,1.0833333333333333,1129,0.664
2150,100,1000,7056,1573,5399,random,20,5,0.3,1.75,1547,0.595
6285,100,1000,7056,1491,5481,random,20,5,0.3,2.3452380952380953,2043,0.643
9239,100,1000,7056,1472,5500,random,20,5,0.3,0.7619047619047619,932,0.668
1648,100,1000,7056,1648,5324,random,20,5,0.3,2,1576,0.585
4637,100,1000,7056,1315,5657,random,20,5,0.3,1.6547619047619047,1352,0.589
3978,100,1000,7056,1470,5502,random,20,5,0.3,1.0952380952380953,1202,0.669
2400,100,1000,7056,1250,5722,random,20,5,0.3,1.8928571428571428,1632,0.645
6883,100,1000,7056,1605,5367,random,20,5,0.3,1.1904761904761905,1104,0.744
9727,100,1000,7056,1692,5280,random,20,5,0.3,2.4285714285714284,2191,0.556
6535,100,1000,7056,1468,5504,random,20,5,0.3,0.4642857142857143,702,0.501
4149,100,1000,7056,1094,5878,random,20,5,0.3,0.6785714285714286,976,0.617
7750,100,1000,7056,1265,5707,random,20,5,0.3,0.42857142857142855,696,0.451
8000,100,1000,7056,1388,5584,random,20,5,0.3,1.7142857142857142,1195,0.669
2884,100,1000,7056,1317,5655,random,20,5,0.3,0.9285714285714286,1128,0.646
8129,100,1000,7056,1260,5712,random,20,5,0.3,0,602,0.377
8117,100,1000,7056,1074,5898,random,20,5,0.3,0.32142857142857145,779,0.412
3764,100,1000,7056,1009,5963,random,20,5,0.4,1.1547619047619047,1441,0.567
8652,100,1000,7056,1503,5469,random,20,5,0.4,1.0357142857142858,1115,0.526
5634,100,1000,7056,1421,5551,random,20,5,0.4,2,1665,0.553
6695,100,1000,7056,1394,5578,random,20,5,0.4,1.7261904761904763,1551,0.548
5444,100,1000,7056,1284,5688,random,20,5,0.4,0.5,821,0.419
1359,100,1000,7056,1115,5857,random,20,5,0.4,1.3214285714285714,1549,0.557
3255,100,1000,7056,1572,5400,random,20,5,0.4,2.2857142857142856,1582,0.473
3721,100,1000,7056,1443,5529,random,20,5,0.4,1.5476190476190477,1511,0.616
6971,100,1000,7056,1156,5816,random,20,5,0.4,1.130952380952381,979,0.544
7149,100,1000,7056,1250,5722,random,20,5,0.4,1.25,1378,0.591
1779,100,1000,7056,1342,5630,random,20,5,0.4,1.1071428571428572,1299,0.517
9134,100,1000,7056,1329,5643,random,20,5,0.4,0.35714285714285715,961,0.458
6555,100,1000,7056,1597,5375,random,20,5,0.4,0.11904761904761904,683,0.395
6004,100,1000,7056,1205,5767,random,20,5,0.4,0.42857142857142855,887,0.489
2790,100,1000,7056,1585,5387,random,20,5,0.4,0.5,702,0.531
4089,100,1000,7056,1457,5515,random,20,5,0.4,1.4761904761904763,1413,0.542
2603,100,1000,7056,1359,5613,random,20,5,0.4,1.3571428571428572,1196,0.574
6541,100,1000,7056,1585,5387,random,20,5,0.4,1.2380952380952381,1327,0.616
7480,100,1000,7056,1232,5740,random,20,5,0.4,0.6190476190476191,1086,0.483
5319,100,1000,7056,1490,5482,random,20,5,0.5,1.6785714285714286,1658,0.567
4049,100,1000,7056,1430,5542,random,20,5,0.5,2.261904761904762,1530,0.489
6742,100,1000,7056,1220,5752,random,20,5,0.5,1,1106,0.43
3473,100,1000,7056,1429,5543,random,20,5,0.5,2.488095238095238,1578,0.49
4041,100,1000,7056,1542,5430,random,20,5,0.4,0.6071428571428571,772,0.455
7459,100,1000,7056,987,5985,random,20,5,0.5,1.6428571428571428,1756,0.502
5313,100,1000,7056,1301,5671,random,20,5,0.5,0.6547619047619048,975,0.451
7432,100,1000,7056,1561,5411,random,20,5,0.5,1.4642857142857142,1286,0.453
8779,100,1000,7056,1270,5702,random,20,5,0.5,0.8214285714285714,1220,0.453
5107,100,1000,7056,1309,5663,random,20,5,0.5,0.14285714285714285,975,0.426
3533,100,1000,7056,1390,5582,random,20,5,0.5,2.2261904761904763,1648,0.495
8516,100,1000,7056,1463,5509,random,20,5,0.5,0.8571428571428571,1196,0.535
8322,100,1000,7056,1502,5470,random,20,5,0.5,0.38095238095238093,928,0.458
1464,100,1000,7056,1674,5298,random,20,5,0.5,1.4642857142857142,1149,0.493
8305,100,1000,7056,1484,5488,random,20,5,0.5,0.10714285714285714,736,0.368
6139,100,1000,7056,1588,5384,random,20,5,0.5,1,1311,0.54
2828,100,1000,7056,1000,5972,random,20,5,0.5,0.9404761904761905,1206,0.436
8515,100,1000,7056,1129,5843,random,20,5,0.5,1.0238095238095237,1167,0.372
6942,100,1000,7056,1414,5558,random,20,5,0.5,1.5119047619047619,1400,0.509
9004,100,1000,7056,1175,5797,random,20,5,0.5,0.9285714285714286,1080,0.421
7505,100,1000,7056,1240,5732,random,20,5,0.5,1.5357142857142858,1308,0.563
2899,100,1000,7056,1229,5743,random,20,5,0.6,0.7619047619047619,940,0.444
5695,100,1000,7056,1235,5737,random,20,5,0.6,1.6428571428571428,1347,0.416
7348,100,1000,7056,1370,5602,random,20,5,0.6,0.9285714285714286,1170,0.415
6187,100,1000,7056,1880,5092,random,20,5,0.6,0,823,0.366
5670,100,1000,7056,1638,5334,random,20,5,0.6,2.9642857142857144,1706,0.428
7077,100,1000,7056,1608,5364,random,20,5,0.6,0.07142857142857142,823,0.412
