[run number],proportion-of-habitat,matrix-permeability,perceptual-range,vision-angle,number-of-individuals,steps,scenario,[step],(count patches),count patches with [habitat = 1],count patches with [habitat = 2],mean [hab_neighbors] of patches with [habitat = 0],sum [visits] of patches with [habitat = 0],assess-top-sections,siminputrow
1,10,0.1,5,90,10,100,8,1,7056,491,6481,0.32142857142857145,1,1,1
2,10,0.1,5,90,10,100,8,1,7056,518,6454,0.8571428571428571,0,0,1
1,30,0.1,5,90,10,100,8,1,7056,2089,4883,3.75,0,0,2
2,30,0.1,5,90,10,100,8,1,7056,1790,5182,2.2738095238095237,0,0,2
1,50,0.1,5,90,10,100,8,1,7056,3336,3636,2.9047619047619047,0,0,3
2,50,0.1,5,90,10,100,8,1,7056,3599,3373,2.6904761904761907,0,0,3
1,70,0.1,5,90,10,100,8,1,7056,4789,2183,4.321428571428571,0,0,4
2,70,0.1,5,90,10,100,8,1,7056,5023,1949,3.3214285714285716,0,0,4
1,90,0.1,5,90,10,100,8,1,7056,6283,689,4.7023809523809526,0,0,5
2,90,0.1,5,90,10,100,8,1,7056,6296,676,5.9523809523809526,0,0,5
1,10,0.4,5,90,10,100,8,1,7056,466,6506,0,0,0,6
2,10,0.4,5,90,10,100,8,1,7056,483,6489,0,0,0,6
1,30,0.4,5,90,10,100,8,1,7056,1904,5068,0.17857142857142858,0,0,7
2,30,0.4,5,90,10,100,8,1,7056,2142,4830,2.7738095238095237,0,0,7
1,50,0.4,5,90,10,100,8,1,7056,3815,3157,1.2857142857142858,1,1,8
2,50,0.4,5,90,10,100,8,1,7056,3202,3770,3.0714285714285716,0,0,8
1,70,0.4,5,90,10,100,8,1,7056,5048,1924,5.595238095238095,1,1,9
2,70,0.4,5,90,10,100,8,1,7056,4808,2164,4.369047619047619,0,0,9
1,90,0.4,5,90,10,100,8,1,7056,6452,520,5.9523809523809526,0,0,10
2,90,0.4,5,90,10,100,8,1,7056,6365,607,4.880952380952381,0,0,10
1,10,0.7,5,90,10,100,8,1,7056,537,6435,0,0,0,11
2,10,0.7,5,90,10,100,8,1,7056,813,6159,0.8928571428571429,0,0,11
1,30,0.7,5,90,10,100,8,1,7056,1871,5101,0.9642857142857144,0,0,12
2,30,0.7,5,90,10,100,8,1,7056,1926,5046,1.4047619047619049,0,0,12
1,50,0.7,5,90,10,100,8,1,7056,3687,3285,3.892857142857143,0,0,13
2,50,0.7,5,90,10,100,8,1,7056,3701,3271,3.1904761904761907,1,1,13
1,70,0.7,5,90,10,100,8,1,7056,4861,2111,3.869047619047619,0,0,14
2,70,0.7,5,90,10,100,8,1,7056,4964,2008,4.273809523809524,0,0,14
1,90,0.7,5,90,10,100,8,1,7056,6328,644,5.345238095238095,1,1,15
2,90,0.7,5,90,10,100,8,1,7056,5871,1101,4.023809523809524,0,0,15
1,10,0.1,10,90,10,100,8,1,7056,766,6206,0,0,0,16
2,10,0.1,10,90,10,100,8,1,7056,680,6292,0.4047619047619048,0,0,16
1,30,0.1,10,90,10,100,8,1,7056,1984,4988,3.488095238095238,0,0,17
2,30,0.1,10,90,10,100,8,1,7056,2111,4861,0.47619047619047616,0,0,17
1,50,0.1,10,90,10,100,8,1,7056,3419,3553,3.4642857142857144,0,0,18
2,50,0.1,10,90,10,100,8,1,7056,3353,3619,2.7857142857142856,0,0,18
1,70,0.1,10,90,10,100,8,1,7056,4963,2009,3.952380952380953,0,0,19
2,70,0.1,10,90,10,100,8,1,7056,4760,2212,5.071428571428571,0,0,19
