N_individuals,steps,scenario,proportion_of_habitat,matrix_permeability,perceptual_range,vision_angle,total_crossings,assess_top_sections
100,500,8,58,85,7,168,738,0.36
100,500,8,32,35,7,154,1020,0.389
100,500,8,22,23,11,131,1215,0.507
100,500,8,82,50,11,173,677,0.408
100,500,8,32,35,23,154,1288,0.531
100,500,8,32,85,23,154,880,0.413
100,500,8,58,35,23,154,1119,0.517
100,500,8,32,35,23,168,1229,0.518
100,500,8,39,75,23,131,858,0.394
100,500,8,22,23,17,131,1419,0.558
100,500,8,47,10,23,149,1257,0.467
100,500,8,22,50,17,131,958,0.459
100,500,8,82,23,17,131,1115,0.396
100,500,8,22,23,17,173,1703,0.591
100,500,8,39,75,24,131,878,0.41
100,500,8,39,10,24,131,1646,0.399
100,500,8,47,75,24,131,691,0.424
100,500,8,45,12,27,147,977,0.492
100,500,8,39,75,24,149,1007,0.405
100,500,8,30,75,27,159,849,0.457
100,500,8,45,12,23,147,1064,0.433
100,500,8,45,75,23,147,886,0.413
100,500,8,30,12,23,147,1719,0.576
100,500,8,45,12,23,159,1042,0.53
100,500,8,75,37,27,100,1029,0.389
100,500,8,80,39,27,178,859,0.52
100,500,8,77,26,10,134,941,0.351
100,500,8,15,79,10,139,609,0.379
100,500,8,74,21,10,115,1014,0.338
100,500,8,79,30,10,175,924,0.354
100,500,8,78,27,13,150,841,0.384
100,500,8,71,80,13,121,665,0.374
100,500,8,80,39,39,100,962,0.429
100,500,8,58,50,30,95,963,0.393
100,500,8,85,51,30,102,827,0.426
100,500,8,80,39,39,178,1201,0.54
100,500,8,72,22,9,139,1074,0.327
100,500,8,80,37,39,178,1304,0.634
100,500,8,15,43,9,103,635,0.431
100,500,8,75,39,39,178,1312,0.579
100,500,8,15,79,33,134,875,0.479
100,500,8,79,30,19,115,781,0.393
100,500,8,15,79,33,139,890,0.497
100,500,8,15,26,33,139,852,0.654
100,500,8,77,79,33,139,926,0.468
100,500,8,71,80,15,150,726,0.393
100,500,8,31,12,34,155,1589,0.702
100,500,8,77,45,34,171,1252,0.568
100,500,8,79,30,19,175,906,0.489
100,500,8,79,21,19,175,1034,0.444
100,500,8,85,51,21,95,592,0.392
100,500,8,74,30,19,175,1158,0.478
100,500,8,71,80,15,121,765,0.378
100,500,8,71,27,15,121,1054,0.371
100,500,8,39,35,25,99,1050,0.405
100,500,8,78,80,15,121,730,0.373
100,500,8,33,24,25,166,1355,0.597
100,500,8,85,51,21,102,774,0.382
100,500,8,85,50,21,102,744,0.391
100,500,8,58,51,21,102,830,0.382
100,500,8,83,74,37,148,1029,0.484
100,500,8,15,43,41,139,1207,0.6
100,500,8,29,20,37,117,1235,0.589
100,500,8,15,43,41,103,958,0.503
100,500,8,15,22,41,103,974,0.547
100,500,8,72,43,41,103,993,0.446
100,500,8,77,45,36,155,1196,0.548
100,500,8,80,39,41,130,1147,0.526
100,500,8,57,14,41,103,1309,0.471
100,500,8,77,45,36,171,1140,0.554
100,500,8,33,24,17,99,1082,0.424
100,500,8,31,45,36,171,1480,0.537
100,500,8,77,12,36,171,1388,0.646
100,500,8,33,24,17,166,1407,0.474
100,500,8,25,13,29,108,1382,0.606
100,500,8,29,20,22,148,1379,0.616
100,500,8,39,24,17,166,1428,0.407
100,500,8,33,35,17,166,1485,0.542
100,500,8,57,14,5,130,1016,0.357
100,500,8,45,39,29,178,1071,0.47
100,500,8,29,20,22,117,1253,0.569
100,500,8,45,39,8,108,808,0.389
100,500,8,57,14,5,103,800,0.361
100,500,8,18,66,8,126,622,0.387
100,500,8,83,20,22,117,846,0.411
100,500,8,45,39,8,178,919,0.383
100,500,8,80,14,5,103,874,0.325
100,500,8,29,74,22,117,790,0.419
100,500,8,18,66,8,148,692,0.428
100,500,8,57,39,5,103,777,0.349
100,500,8,25,39,8,178,1228,0.529
100,500,8,45,13,8,178,1335,0.464
100,500,8,38,66,8,148,786,0.394
100,500,8,38,28,32,126,1194,0.472
100,500,8,18,28,8,148,726,0.616
100,500,8,67,57,7,164,873,0.361
100,500,8,19,89,7,167,681,0.358
100,500,8,18,66,32,148,966,0.512
100,500,8,58,57,7,115,830,0.361
100,500,8,58,57,31,115,920,0.48
100,500,8,58,57,31,164,1201,0.479
100,500,8,85,37,7,165,624,0.373
100,500,8,58,57,31,115,920,0.48
100,500,8,67,57,31,115,1050,0.463
100,500,8,45,26,37,147,1304,0.558
100,500,8,85,37,34,165,1045,0.555
100,500,8,29,13,37,122,1363,0.598
100,500,8,29,13,8,122,1215,0.453
100,500,8,85,89,34,165,893,0.473
100,500,8,85,37,34,167,931,0.537
100,500,8,46,83,10,121,553,0.362
100,500,8,19,37,34,165,1152,0.688
100,500,8,29,26,8,122,1187,0.414
100,500,8,71,78,8,170,744,0.413
100,500,8,29,13,8,147,1370,0.493
100,500,8,45,13,8,122,967,0.374
100,500,8,61,82,28,109,800,0.396
100,500,8,46,82,10,121,795,0.379
100,500,8,46,83,10,109,661,0.383
100,500,8,61,83,10,121,573,0.372
100,500,8,71,34,8,170,1124,0.375
100,500,8,46,83,28,121,867,0.394
