[run number],scenario,matrix-permeability,perceptual-range,vision-angle,number-of-individuals,steps,proportion-of-habitat,[step],(count patches),count patches with [habitat = 1],count patches with [habitat = 2],mean [hab_neighbors] of patches with [habitat = 0],sum [visits] of patches with [habitat = 0],assess-top-sections,siminputrow
1,1,0.1,5,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,1
2,1,0.1,5,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,1
1,2,0.1,5,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,2
2,2,0.1,5,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,2
1,3,0.1,5,90,10,100,50,1,7056,1600,5372,0,0,0,3
2,3,0.1,5,90,10,100,50,1,7056,1600,5372,0,0,0,3
1,4,0.1,5,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,4
2,4,0.1,5,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,4
1,5,0.1,5,90,10,100,50,1,7056,1600,5372,0,0,0,5
2,5,0.1,5,90,10,100,50,1,7056,1600,5372,0,1,1,5
1,6,0.1,5,90,10,100,50,1,7056,1660,5312,1.4285714285714286,1,1,6
2,6,0.1,5,90,10,100,50,1,7056,1660,5312,1.4285714285714286,0,0,6
1,7,0.1,5,90,10,100,50,1,7056,1680,5292,0,0,0,7
2,7,0.1,5,90,10,100,50,1,7056,1680,5292,0,0,0,7
1,1,0.4,5,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,8
2,1,0.4,5,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,8
1,2,0.4,5,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,9
2,2,0.4,5,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,9
1,3,0.4,5,90,10,100,50,1,7056,1600,5372,0,0,0,10
2,3,0.4,5,90,10,100,50,1,7056,1600,5372,0,0,0,10
1,4,0.4,5,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,11
2,4,0.4,5,90,10,100,50,1,7056,1600,5372,2.857142857142857,1,1,11
1,5,0.4,5,90,10,100,50,1,7056,1600,5372,0,1,1,12
2,5,0.4,5,90,10,100,50,1,7056,1600,5372,0,0,0,12
1,6,0.4,5,90,10,100,50,1,7056,1660,5312,1.4285714285714286,1,1,13
2,6,0.4,5,90,10,100,50,1,7056,1660,5312,1.4285714285714286,0,0,13
1,7,0.4,5,90,10,100,50,1,7056,1680,5292,0,0,0,14
2,7,0.4,5,90,10,100,50,1,7056,1680,5292,0,0,0,14
1,1,0.7,5,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,15
2,1,0.7,5,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,15
1,2,0.7,5,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,16
2,2,0.7,5,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,16
1,3,0.7,5,90,10,100,50,1,7056,1600,5372,0,0,0,17
2,3,0.7,5,90,10,100,50,1,7056,1600,5372,0,0,0,17
1,4,0.7,5,90,10,100,50,1,7056,1600,5372,2.857142857142857,1,1,18
2,4,0.7,5,90,10,100,50,1,7056,1600,5372,2.857142857142857,2,1,18
1,5,0.7,5,90,10,100,50,1,7056,1600,5372,0,0,0,19
2,5,0.7,5,90,10,100,50,1,7056,1600,5372,0,1,1,19
1,6,0.7,5,90,10,100,50,1,7056,1660,5312,1.4285714285714286,0,0,20
2,6,0.7,5,90,10,100,50,1,7056,1660,5312,1.4285714285714286,0,0,20
1,7,0.7,5,90,10,100,50,1,7056,1680,5292,0,0,0,21
2,7,0.7,5,90,10,100,50,1,7056,1680,5292,0,0,0,21
1,1,0.1,10,90,10,100,50,1,7056,1600,5372,2.857142857142857,1,1,22
2,1,0.1,10,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,22
1,2,0.1,10,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,23
2,2,0.1,10,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,23
1,3,0.1,10,90,10,100,50,1,7056,1600,5372,0,0,0,24
2,3,0.1,10,90,10,100,50,1,7056,1600,5372,0,0,0,24
1,4,0.1,10,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,25
2,4,0.1,10,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,25
1,5,0.1,10,90,10,100,50,1,7056,1600,5372,0,0,0,26
2,5,0.1,10,90,10,100,50,1,7056,1600,5372,0,0,0,26
1,6,0.1,10,90,10,100,50,1,7056,1660,5312,1.4285714285714286,0,0,27
2,6,0.1,10,90,10,100,50,1,7056,1660,5312,1.4285714285714286,0,0,27
1,7,0.1,10,90,10,100,50,1,7056,1680,5292,0,0,0,28
2,7,0.1,10,90,10,100,50,1,7056,1680,5292,0,0,0,28
1,1,0.4,10,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,29
2,1,0.4,10,90,10,100,50,1,7056,1600,5372,2.857142857142857,0,0,29
