[run number],proportion-of-habitat,matrix-permeability,perceptual-range,vision-angle,number-of-individuals,steps,scenario,random-seed,[step],(count patches),count patches with [habitat = 1],count patches with [habitat = 2],mean [hab_neighbors] of patches with [habitat = 0],sum [visits] of patches with [habitat = 0],assess-top-sections,siminputrow
1,72.4534,0.8316,7.8548,96.6405,10,100,8,11485164,1,7056,5082,1890,3.4166666666666665,0,0,1
1,58.4481,0.1156,17.3522,157.9461,10,100,8,11485164,1,7056,4103,2869,3.202380952380953,0,0,2
1,38.4994,0.1997,17.8675,131.1729,10,100,8,11485164,1,7056,2875,4097,2.1785714285714284,0,0,3
1,16.5401,0.1323,12.0603,165.5286,10,100,8,11485164,1,7056,1149,5823,1.3214285714285714,1,1,4
1,56.6416,0.6443,19.1545,120.7644,10,100,8,11485164,1,7056,4022,2950,2.880952380952381,0,0,5
1,60.6178,0.7574,13.9681,108.4882,10,100,8,11485164,1,7056,4199,2773,3.202380952380953,0,0,6
1,41.5136,0.4461,15.6121,107.3633,10,100,8,11485164,1,7056,3058,3914,2.1785714285714284,0,0,7
1,42.8391,0.1386,19.3885,136.0285,10,100,8,11485164,1,7056,3091,3881,2.1785714285714284,0,0,8
1,24.1211,0.3754,17.591,174.2206,10,100,8,11485164,1,7056,1706,5266,1.4166666666666667,0,0,9
1,12.9571,0.8864,11.175,150.1842,10,100,8,11485164,1,7056,707,6265,0.5,0,0,10
1,72.4534,0.144,8.27,107.9837,10,100,8,11485164,1,7056,5082,1890,3.4166666666666665,0,0,11
1,58.4481,0.6157,5.9333,150.9657,10,100,8,11485164,1,7056,4103,2869,3.202380952380953,0,0,12
1,38.4994,0.6704,17.4387,135.5126,10,100,8,11485164,1,7056,2875,4097,2.1785714285714284,0,0,13
1,16.5401,0.3212,17.6403,118.0644,10,100,8,11485164,1,7056,1149,5823,1.3214285714285714,0,0,14
1,56.6416,0.7344,8.6422,156.0891,10,100,8,11485164,1,7056,4022,2950,2.880952380952381,0,0,15
1,60.6178,0.6916,17.1632,168.434,10,100,8,11485164,1,7056,4199,2773,3.202380952380953,0,0,16
1,41.5136,0.6193,8.5575,126.0053,10,100,8,11485164,1,7056,3058,3914,2.1785714285714284,0,0,17
1,42.8391,0.8793,16.3054,90.9404,10,100,8,11485164,1,7056,3091,3881,2.1785714285714284,0,0,18
1,24.1211,0.1444,15.5733,112.8636,10,100,8,11485164,1,7056,1706,5266,1.4166666666666667,0,0,19
1,12.9571,0.8142,7.2426,177.9335,10,100,8,11485164,1,7056,707,6265,0.5,0,0,20
1,39.0471,0.8316,8.27,107.9837,10,100,8,11485164,1,7056,2899,4073,2.1785714285714284,0,0,21
1,89.0548,0.1156,5.9333,150.9657,10,100,8,11485164,1,7056,6047,925,4.738095238095238,0,0,22
1,80.3145,0.1997,17.4387,135.5126,10,100,8,11485164,1,7056,5520,1452,3.880952380952381,0,0,23
1,68.0788,0.1323,17.6403,118.0644,10,100,8,11485164,1,7056,4768,2204,3.3452380952380953,0,0,24
1,36.9263,0.6443,8.6422,156.0891,10,100,8,11485164,1,7056,2539,4433,2.1785714285714284,0,0,25
1,66.3913,0.7574,17.1632,168.434,10,100,8,11485164,1,7056,4562,2410,3.202380952380953,0,0,26
1,33.3888,0.4461,8.5575,126.0053,10,100,8,11485164,1,7056,2300,4672,1.9642857142857144,0,0,27
1,72.229,0.1386,16.3054,90.9404,10,100,8,11485164,1,7056,5082,1890,3.4166666666666665,0,0,28
1,53.8481,0.3754,15.5733,112.8636,10,100,8,11485164,1,7056,3879,3093,2.880952380952381,0,0,29
1,16.151,0.8864,7.2426,177.9335,10,100,8,11485164,1,7056,1149,5823,1.3214285714285714,0,0,30
1,39.0471,0.144,7.8548,107.9837,10,100,8,11485164,1,7056,2899,4073,2.1785714285714284,0,0,31
1,89.0548,0.6157,17.3522,150.9657,10,100,8,11485164,1,7056,6047,925,4.738095238095238,0,0,32
1,80.3145,0.6704,17.8675,135.5126,10,100,8,11485164,1,7056,5520,1452,3.880952380952381,0,0,33
1,68.0788,0.3212,12.0603,118.0644,10,100,8,11485164,1,7056,4768,2204,3.3452380952380953,0,0,34
1,36.9263,0.7344,19.1545,156.0891,10,100,8,11485164,1,7056,2539,4433,2.1785714285714284,0,0,35
1,66.3913,0.6916,13.9681,168.434,10,100,8,11485164,1,7056,4562,2410,3.202380952380953,0,0,36
1,33.3888,0.6193,15.6121,126.0053,10,100,8,11485164,1,7056,2300,4672,1.9642857142857144,0,0,37
1,72.229,0.8793,19.3885,90.9404,10,100,8,11485164,1,7056,5082,1890,3.4166666666666665,0,0,38
1,53.8481,0.1444,17.591,112.8636,10,100,8,11485164,1,7056,3879,3093,2.880952380952381,0,0,39
1,16.151,0.8142,11.175,177.9335,10,100,8,11485164,1,7056,1149,5823,1.3214285714285714,0,0,40
1,39.0471,0.144,8.27,96.6405,10,100,8,11485164,1,7056,2899,4073,2.1785714285714284,0,0,41
1,89.0548,0.6157,5.9333,157.9461,10,100,8,11485164,1,7056,6047,925,4.738095238095238,0,0,42
1,80.3145,0.6704,17.4387,131.1729,10,100,8,11485164,1,7056,5520,1452,3.880952380952381,0,0,43
1,68.0788,0.3212,17.6403,165.5286,10,100,8,11485164,1,7056,4768,2204,3.3452380952380953,0,0,44
1,36.9263,0.7344,8.6422,120.7644,10,100,8,11485164,1,7056,2539,4433,2.1785714285714284,0,0,45
1,66.3913,0.6916,17.1632,108.4882,10,100,8,11485164,1,7056,4562,2410,3.202380952380953,0,0,46
1,33.3888,0.6193,8.5575,107.3633,10,100,8,11485164,1,7056,2300,4672,1.9642857142857144,0,0,47
1,72.229,0.8793,16.3054,136.0285,10,100,8,11485164,1,7056,5082,1890,3.4166666666666665,0,0,48
1,53.8481,0.1444,15.5733,174.2206,10,100,8,11485164,1,7056,3879,3093,2.880952380952381,1,1,49
1,16.151,0.8142,7.2426,150.1842,10,100,8,11485164,1,7056,1149,5823,1.3214285714285714,0,0,50
1,72.4534,0.8316,8.27,107.9837,10,100,8,11485164,1,7056,5082,1890,3.4166666666666665,0,0,51
1,58.4481,0.1156,5.9333,150.9657,10,100,8,11485164,1,7056,4103,2869,3.202380952380953,0,0,52
1,38.4994,0.1997,17.4387,135.5126,10,100,8,11485164,1,7056,2875,4097,2.1785714285714284,0,0,53
1,16.5401,0.1323,17.6403,118.0644,10,100,8,11485164,1,7056,1149,5823,1.3214285714285714,0,0,54
1,56.6416,0.6443,8.6422,156.0891,10,100,8,11485164,1,7056,4022,2950,2.880952380952381,0,0,55
1,60.6178,0.7574,17.1632,168.434,10,100,8,11485164,1,7056,4199,2773,3.202380952380953,0,0,56
1,41.5136,0.4461,8.5575,126.0053,10,100,8,11485164,1,7056,3058,3914,2.1785714285714284,0,0,57
1,42.8391,0.1386,16.3054,90.9404,10,100,8,11485164,1,7056,3091,3881,2.1785714285714284,0,0,58
1,24.1211,0.3754,15.5733,112.8636,10,100,8,11485164,1,7056,1706,5266,1.4166666666666667,0,0,59
1,12.9571,0.8864,7.2426,177.9335,10,100,8,11485164,1,7056,707,6265,0.5,0,0,60
1,72.4534,0.144,7.8548,107.9837,10,100,8,11485164,1,7056,5082,1890,3.4166666666666665,0,0,61
1,58.4481,0.6157,17.3522,150.9657,10,100,8,11485164,1,7056,4103,2869,3.202380952380953,0,0,62
1,38.4994,0.6704,17.8675,135.5126,10,100,8,11485164,1,7056,2875,4097,2.1785714285714284,0,0,63
1,16.5401,0.3212,12.0603,118.0644,10,100,8,11485164,1,7056,1149,5823,1.3214285714285714,0,0,64
1,56.6416,0.7344,19.1545,156.0891,10,100,8,11485164,1,7056,4022,2950,2.880952380952381,0,0,65
1,60.6178,0.6916,13.9681,168.434,10,100,8,11485164,1,7056,4199,2773,3.202380952380953,0,0,66
1,41.5136,0.6193,15.6121,126.0053,10,100,8,11485164,1,7056,3058,3914,2.1785714285714284,0,0,67
1,42.8391,0.8793,19.3885,90.9404,10,100,8,11485164,1,7056,3091,3881,2.1785714285714284,0,0,68
1,24.1211,0.1444,17.591,112.8636,10,100,8,11485164,1,7056,1706,5266,1.4166666666666667,0,0,69
1,12.9571,0.8142,11.175,177.9335,10,100,8,11485164,1,7056,707,6265,0.5,0,0,70
1,72.4534,0.144,8.27,96.6405,10,100,8,11485164,1,7056,5082,1890,3.4166666666666665,0,0,71
1,58.4481,0.6157,5.9333,157.9461,10,100,8,11485164,1,7056,4103,2869,3.202380952380953,0,0,72
1,38.4994,0.6704,17.4387,131.1729,10,100,8,11485164,1,7056,2875,4097,2.1785714285714284,0,0,73
1,16.5401,0.3212,17.6403,165.5286,10,100,8,11485164,1,7056,1149,5823,1.3214285714285714,0,0,74
1,56.6416,0.7344,8.6422,120.7644,10,100,8,11485164,1,7056,4022,2950,2.880952380952381,0,0,75
1,60.6178,0.6916,17.1632,108.4882,10,100,8,11485164,1,7056,4199,2773,3.202380952380953,0,0,76
1,41.5136,0.6193,8.5575,107.3633,10,100,8,11485164,1,7056,3058,3914,2.1785714285714284,0,0,77
