run_id,N_individuals,steps,landscape_area,habitat_area,matrix_area,type_scenario,proportion_of_habitat,matrix_permeability,perceptual_range,vision_angle,mean_hab_neighbors,total_crossings,assess_top_sections
79140918333561B,100,500,7056,3661,3311,8,51.151,0.794,19.132,96.94,4.154761904761905,750,0.36
215478855248850C,100,500,7056,3468,3504,8,51.151,0.794,19.132,96.94,3.75,744,0.382
193224321083137A,100,500,7056,5137,1835,8,72.043,0.836,15.007,91.504,4.392857142857143,634,0.347
290737620761799E,100,500,7056,4966,2006,8,72.043,0.836,15.007,91.504,3.5595238095238093,661,0.377
519656257389691C,100,500,7056,5832,1140,8,83.936,0.447,5.172,116.513,5.9523809523809526,637,0.359
354721953167898D,100,500,7056,5670,1302,8,83.936,0.447,5.172,116.513,5.535714285714286,638,0.379
421704702113970A,100,500,7056,2642,4330,8,42.646,0.208,12.801,178.535,3.3095238095238093,854,0.624
860848157122540C,100,500,7056,2717,4255,8,42.646,0.208,12.801,178.535,3.392857142857143,832,0.541
455006695490107D,100,500,7056,2165,4807,8,30.294,0.33,18.664,173.376,1.369047619047619,479,0.555
571743820296981C,100,500,7056,2349,4623,8,30.294,0.33,18.664,173.376,2.7976190476190474,951,0.674
322124578034221C,100,500,7056,1509,5463,8,20.971,0.583,6.528,109.738,2.0357142857142856,513,0.417
776607930896288D,100,500,7056,992,5980,8,20.971,0.583,6.528,109.738,0.15476190476190477,507,0.365
195271755321372D,100,500,7056,3210,3762,8,46.308,0.198,16.563,134.481,2.011904761904762,397,0.728
602485735882852A,100,500,7056,3219,3753,8,46.308,0.198,16.563,134.481,1.8333333333333333,555,0.845
864207315463295B,100,500,7056,2586,4386,8,36.887,0.216,18.369,94.513,1.3571428571428572,456,0.695
334240997162504D,100,500,7056,2282,4690,8,36.887,0.216,18.369,94.513,2.3214285714285716,752,0.493
251504551813606A,100,500,7056,868,6104,8,14.438,0.855,15.806,133.289,0.7976190476190477,697,0.387
84597890357426C,100,500,7056,905,6067,8,14.438,0.855,15.806,133.289,0.6071428571428571,659,0.384
883003564399006C,100,500,7056,1111,5861,8,18.786,0.603,6.888,107.008,0.6785714285714286,634,0.401
355707461711033C,100,500,7056,1225,5747,8,18.786,0.603,6.888,107.008,0.8214285714285714,476,0.395
938942821997874D,100,500,7056,2873,4099,8,42.195,0.719,7.445,98.868,2.357142857142857,553,0.373
75702515990692B,100,500,7056,3106,3866,8,42.195,0.719,7.445,98.868,1.9523809523809523,500,0.384
680433814002370A,100,500,7056,5064,1908,8,74.975,0.814,14.455,179.671,4.154761904761905,692,0.415
747082117675050A,100,500,7056,5328,1644,8,74.975,0.814,14.455,179.671,5.238095238095238,649,0.407
818678612745180E,100,500,7056,2385,4587,8,30.984,0.184,14.202,162.117,3.2738095238095237,1153,0.52
932060379677178A,100,500,7056,1959,5013,8,30.984,0.184,14.202,162.117,2.3214285714285716,1512,0.59
710406965708045D,100,500,7056,6033,939,8,85.889,0.7,19.835,160.123,5.345238095238095,671,0.393
172924698039238C,100,500,7056,5960,1012,8,85.889,0.7,19.835,160.123,5.7023809523809526,711,0.404
225879179823139B,100,500,7056,3066,3906,8,44.803,0.684,7.872,102.298,1.5714285714285714,493,0.422
418940004047570D,100,500,7056,3525,3447,8,44.803,0.684,7.872,102.298,2.5833333333333335,573,0.38
704302091045487D,100,500,7056,1140,5832,8,17.949,0.493,7.794,108.294,2.107142857142857,615,0.441
36055534225123A,100,500,7056,1294,5678,8,17.949,0.493,7.794,108.294,0.6309523809523809,479,0.365
142461925674154C,100,500,7056,914,6058,8,10.668,0.368,15.586,100.636,0.5357142857142857,618,0.422
529026780926443D,100,500,7056,584,6388,8,10.668,0.368,15.586,100.636,0.21428571428571427,550,0.442
998389582711441D,100,500,7056,777,6195,8,12.67,0.483,12.343,136.604,0.6785714285714286,714,0.461
192912169998760B,100,500,7056,896,6076,8,12.67,0.483,12.343,136.604,1.619047619047619,785,0.46
785781708403571A,100,500,7056,3329,3643,8,49.06,0.576,17.129,128.45,3.2857142857142856,774,0.388
961707854555831D,100,500,7056,3139,3833,8,49.06,0.576,17.129,128.45,3.7261904761904763,774,0.417
475771670556516D,100,500,7056,5929,1043,8,83.328,0.526,19.981,146.628,4.4523809523809526,729,0.442
985858555632451D,100,500,7056,5919,1053,8,83.328,0.526,19.981,146.628,4.976190476190476,713,0.457
609048224992671C,100,500,7056,2671,4301,8,43.214,0.39,14.702,113.403,3.0238095238095237,783,0.475
556406696641672C,100,500,7056,3193,3779,8,43.214,0.39,14.702,113.403,1.619047619047619,546,0.509
344247526365546E,100,500,7056,3254,3718,8,47.343,0.248,12.379,102.518,3.5238095238095237,678,0.431
50397574369391D,100,500,7056,3366,3606,8,47.343,0.248,12.379,102.518,2.5238095238095237,511,0.44
141743529779125D,100,500,7056,2066,4906,8,32.654,0.262,14.531,168.228,1,435,0.715
730966389023474D,100,500,7056,2188,4784,8,32.654,0.262,14.531,168.228,1.6666666666666667,525,0.77
988340559057841D,100,500,7056,5599,1373,8,79.07,0.606,7.24,158.732,5.488095238095238,811,0.374
94611244704859B,100,500,7056,5546,1426,8,79.07,0.606,7.24,158.732,4.488095238095238,625,0.402
723268161224321B,100,500,7056,4036,2936,8,60.725,0.317,16.325,128.222,1.25,299,0.505
184039090549152A,100,500,7056,4182,2790,8,60.725,0.317,16.325,128.222,3.7023809523809526,519,0.545
454668042317228B,100,500,7056,887,6085,8,11.915,0.401,18.395,90.807,0.36904761904761907,622,0.387
165688277998603D,100,500,7056,726,6246,8,11.915,0.401,18.395,90.807,0.9285714285714286,575,0.386
859623617285136A,100,500,7056,763,6209,8,13.447,0.869,15.55,167.286,0.36904761904761907,649,0.39
795367280783173E,100,500,7056,806,6166,8,13.447,0.869,15.55,167.286,0,796,0.354
534889480658453A,100,500,7056,5043,1929,8,75.367,0.36,14.631,151.01,4.714285714285714,614,0.549
216438820997369A,100,500,7056,5186,1786,8,75.367,0.36,14.631,151.01,4.726190476190476,598,0.433
981751269409604A,100,500,7056,2276,4696,8,31.629,0.881,5.743,172.158,1.1547619047619047,744,0.402
110156122309618E,100,500,7056,2058,4914,8,31.629,0.881,5.743,172.158,0.9166666666666666,604,0.414
153185879760626C,100,500,7056,4810,2162,8,68.475,0.356,6.502,165.757,3.9047619047619047,658,0.508
775394103032607B,100,500,7056,4929,2043,8,68.475,0.356,6.502,165.757,4.916666666666667,593,0.427
225345468094349E,100,500,7056,1271,5701,8,21.676,0.484,15.182,178.703,0.7142857142857143,629,0.493
167108202295644C,100,500,7056,1268,5704,8,21.676,0.484,15.182,178.703,1.869047619047619,830,0.466
340411064514061D,100,500,7056,630,6342,8,10.479,0.682,6.4,165.498,1.3571428571428572,492,0.415
786871847791693E,100,500,7056,789,6183,8,10.479,0.682,6.4,165.498,2.7976190476190474,739,0.43
772400504641928C,100,500,7056,4212,2760,8,57.358,0.152,11.564,144.807,4.083333333333333,826,0.559
487019435725269B,100,500,7056,3999,2973,8,57.358,0.152,11.564,144.807,2.4404761904761907,308,0.675
61049291967457D,100,500,7056,2922,4050,8,42.736,0.344,17.472,127.101,3.261904761904762,770,0.6
112486887065160A,100,500,7056,2770,4202,8,42.736,0.344,17.472,127.101,2.4047619047619047,743,0.664
961344496011332A,100,500,7056,5298,1674,8,70.22,0.158,11.084,146.747,4.357142857142857,526,0.551
205493102481427E,100,500,7056,4818,2154,8,70.22,0.158,11.084,146.747,2.9047619047619047,414,0.722
185121829975215C,100,500,7056,1353,5619,8,20.445,0.797,12.096,134.558,0.25,615,0.39
