run-id,N_individuals,steps,landscape_area,habitat_area,matrix_area,type_scenario,proportion_habitat_random,perceptual-range,matrix-permeability,mean_hab_neighbors,total_crossings,assess-top-sections
1697,100,1000,7056,1600,5372,1,50,5,0.1,2.857142857142857,1394,0.598
8149,100,1000,7056,1600,5372,1,50,5,0.1,2.857142857142857,1523,0.577
6365,100,1000,7056,1600,5372,1,50,5,0.1,2.857142857142857,1423,0.582
7451,100,1000,7056,1600,5372,1,50,5,0.1,2.857142857142857,1474,0.581
9580,100,1000,7056,1600,5372,1,50,5,0.1,2.857142857142857,1572,0.56
1626,100,1000,7056,1600,5372,1,50,5,0.1,2.857142857142857,1543,0.55
4325,100,1000,7056,1600,5372,1,50,5,0.1,2.857142857142857,1549,0.566
4661,100,1000,7056,1600,5372,1,50,5,0.1,2.857142857142857,1593,0.582
2979,100,1000,7056,1600,5372,1,50,5,0.1,2.857142857142857,1514,0.592
8176,100,1000,7056,1600,5372,1,50,5,0.1,2.857142857142857,1441,0.564
5549,100,1000,7056,1600,5372,1,50,5,0.1,2.857142857142857,1394,0.589
1929,100,1000,7056,1600,5372,1,50,5,0.1,2.857142857142857,1351,0.565
3975,100,1000,7056,1600,5372,1,50,5,0.1,2.857142857142857,1519,0.577
7566,100,1000,7056,1600,5372,1,50,5,0.1,2.857142857142857,1469,0.579
4155,100,1000,7056,1600,5372,1,50,5,0.1,2.857142857142857,1475,0.586
5831,100,1000,7056,1600,5372,1,50,5,0.1,2.857142857142857,1514,0.566
1810,100,1000,7056,1600,5372,1,50,5,0.1,2.857142857142857,1397,0.569
6167,100,1000,7056,1600,5372,1,50,5,0.1,2.857142857142857,1513,0.587
2078,100,1000,7056,1600,5372,1,50,5,0.1,2.857142857142857,1469,0.574
2668,100,1000,7056,1600,5372,1,50,5,0.1,2.857142857142857,1553,0.574
6303,100,1000,7056,1600,5372,1,50,5,0.2,2.857142857142857,1442,0.545
3383,100,1000,7056,1600,5372,1,50,5,0.2,2.857142857142857,1523,0.56
8474,100,1000,7056,1600,5372,1,50,5,0.2,2.857142857142857,1569,0.558
7856,100,1000,7056,1600,5372,1,50,5,0.2,2.857142857142857,1468,0.519
1785,100,1000,7056,1600,5372,1,50,5,0.2,2.857142857142857,1573,0.561
7634,100,1000,7056,1600,5372,1,50,5,0.2,2.857142857142857,1480,0.566
1165,100,1000,7056,1600,5372,1,50,5,0.2,2.857142857142857,1466,0.555
7612,100,1000,7056,1600,5372,1,50,5,0.2,2.857142857142857,1283,0.553
8796,100,1000,7056,1600,5372,1,50,5,0.2,2.857142857142857,1708,0.539
4762,100,1000,7056,1600,5372,1,50,5,0.2,2.857142857142857,1564,0.544
2425,100,1000,7056,1600,5372,1,50,5,0.2,2.857142857142857,1554,0.571
5521,100,1000,7056,1600,5372,1,50,5,0.2,2.857142857142857,1676,0.523
5462,100,1000,7056,1600,5372,1,50,5,0.2,2.857142857142857,1535,0.526
4409,100,1000,7056,1600,5372,1,50,5,0.2,2.857142857142857,1610,0.542
2732,100,1000,7056,1600,5372,1,50,5,0.2,2.857142857142857,1585,0.55
3365,100,1000,7056,1600,5372,1,50,5,0.2,2.857142857142857,1567,0.571
5831,100,1000,7056,1600,5372,1,50,5,0.2,2.857142857142857,1504,0.57
5951,100,1000,7056,1600,5372,1,50,5,0.2,2.857142857142857,1504,0.547
5608,100,1000,7056,1600,5372,1,50,5,0.2,2.857142857142857,1495,0.513
3005,100,1000,7056,1600,5372,1,50,5,0.2,2.857142857142857,1465,0.579
8796,100,1000,7056,1600,5372,1,50,5,0.3,2.857142857142857,1532,0.519
8363,100,1000,7056,1600,5372,1,50,5,0.3,2.857142857142857,1580,0.514
1204,100,1000,7056,1600,5372,1,50,5,0.3,2.857142857142857,1475,0.525
9077,100,1000,7056,1600,5372,1,50,5,0.3,2.857142857142857,1270,0.561
8423,100,1000,7056,1600,5372,1,50,5,0.3,2.857142857142857,1435,0.529
8979,100,1000,7056,1600,5372,1,50,5,0.3,2.857142857142857,1581,0.517
1750,100,1000,7056,1600,5372,1,50,5,0.3,2.857142857142857,1484,0.503
4124,100,1000,7056,1600,5372,1,50,5,0.3,2.857142857142857,1475,0.492
6242,100,1000,7056,1600,5372,1,50,5,0.3,2.857142857142857,1600,0.543
7379,100,1000,7056,1600,5372,1,50,5,0.3,2.857142857142857,1557,0.508
4654,100,1000,7056,1600,5372,1,50,5,0.3,2.857142857142857,1496,0.543
3886,100,1000,7056,1600,5372,1,50,5,0.3,2.857142857142857,1559,0.516
3420,100,1000,7056,1600,5372,1,50,5,0.3,2.857142857142857,1512,0.552
9713,100,1000,7056,1600,5372,1,50,5,0.3,2.857142857142857,1493,0.527
5285,100,1000,7056,1600,5372,1,50,5,0.3,2.857142857142857,1507,0.493
5176,100,1000,7056,1600,5372,1,50,5,0.3,2.857142857142857,1649,0.539
4116,100,1000,7056,1600,5372,1,50,5,0.3,2.857142857142857,1445,0.507
8285,100,1000,7056,1600,5372,1,50,5,0.3,2.857142857142857,1380,0.496
5779,100,1000,7056,1600,5372,1,50,5,0.3,2.857142857142857,1452,0.528
5117,100,1000,7056,1600,5372,1,50,5,0.4,2.857142857142857,1362,0.499
6801,100,1000,7056,1600,5372,1,50,5,0.3,2.857142857142857,1428,0.485
4394,100,1000,7056,1600,5372,1,50,5,0.4,2.857142857142857,1467,0.466
5313,100,1000,7056,1600,5372,1,50,5,0.4,2.857142857142857,1557,0.479
3979,100,1000,7056,1600,5372,1,50,5,0.4,2.857142857142857,1612,0.478
2716,100,1000,7056,1600,5372,1,50,5,0.4,2.857142857142857,1499,0.476
2667,100,1000,7056,1600,5372,1,50,5,0.4,2.857142857142857,1417,0.532
4609,100,1000,7056,1600,5372,1,50,5,0.4,2.857142857142857,1484,0.489
5947,100,1000,7056,1600,5372,1,50,5,0.4,2.857142857142857,1584,0.449
1904,100,1000,7056,1600,5372,1,50,5,0.4,2.857142857142857,1432,0.469
7603,100,1000,7056,1600,5372,1,50,5,0.4,2.857142857142857,1361,0.458
9915,100,1000,7056,1600,5372,1,50,5,0.4,2.857142857142857,1526,0.486
8027,100,1000,7056,1600,5372,1,50,5,0.4,2.857142857142857,1376,0.497
6758,100,1000,7056,1600,5372,1,50,5,0.4,2.857142857142857,1418,0.453
1770,100,1000,7056,1600,5372,1,50,5,0.4,2.857142857142857,1535,0.464
1807,100,1000,7056,1600,5372,1,50,5,0.4,2.857142857142857,1448,0.494
5631,100,1000,7056,1600,5372,1,50,5,0.4,2.857142857142857,1237,0.473
8646,100,1000,7056,1600,5372,1,50,5,0.4,2.857142857142857,1373,0.494
3639,100,1000,7056,1600,5372,1,50,5,0.4,2.857142857142857,1671,0.466
5020,100,1000,7056,1600,5372,1,50,5,0.4,2.857142857142857,1630,0.478
6356,100,1000,7056,1600,5372,1,50,5,0.4,2.857142857142857,1603,0.477
7605,100,1000,7056,1600,5372,1,50,5,0.5,2.857142857142857,1441,0.461
9042,100,1000,7056,1600,5372,1,50,5,0.5,2.857142857142857,1647,0.458
1405,100,1000,7056,1600,5372,1,50,5,0.5,2.857142857142857,1455,0.495
2676,100,1000,7056,1600,5372,1,50,5,0.5,2.857142857142857,1424,0.436
