run-id,N_individuals,steps,landscape_area,habitat_area,matrix_area,type_scenario,proportion_habitat_random,perceptual-range,matrix-permeability,mean_hab_neighbors,total_crossings,assess-top-sections
9904,100,1000,7056,512,6460,random,10,5,0.1,0.5595238095238095,1193,0.813
7410,100,1000,7056,777,6195,random,10,5,0.2,0.17857142857142858,466,0.457
4339,100,1000,7056,666,6306,random,10,10,0.1,1.7142857142857142,4898,0.906
5247,100,1000,7056,533,6439,random,10,10,0.2,1.1071428571428572,2356,0.851
6616,100,1000,7056,878,6094,random,10,15,0.1,1,2102,0.988
8460,100,1000,7056,781,6191,random,10,5,0.3,0,648,0.377
9381,100,1000,7056,603,6369,random,10,15,0.2,1.880952380952381,5101,0.898
9065,100,1000,7056,515,6457,random,10,10,0.3,0.6428571428571429,1130,0.602
8757,100,1000,7056,481,6491,random,10,20,0.1,1.0714285714285714,5611,0.889
3538,100,1000,7056,838,6134,random,10,5,0.4,1.25,1616,0.658
4036,100,1000,7056,700,6272,random,10,10,0.4,0.4642857142857143,1056,0.552
1204,100,1000,7056,696,6276,random,10,20,0.2,0.6428571428571429,1870,0.878
1460,100,1000,7056,910,6062,random,10,15,0.3,1.25,1013,0.67
9296,100,1000,7056,605,6367,random,10,5,0.5,0.8571428571428571,1156,0.421
9118,100,1000,7056,625,6347,random,10,10,0.5,0,946,0.391
7508,100,1000,7056,669,6303,random,10,20,0.3,0.10714285714285714,825,0.559
2484,100,1000,7056,552,6420,random,10,15,0.4,1.0119047619047619,2399,0.546
1771,100,1000,7056,765,6207,random,10,5,0.6,0.9285714285714286,1394,0.468
6211,100,1000,7056,958,6014,random,10,10,0.6,1.0952380952380953,1385,0.599
2628,100,1000,7056,766,6206,random,10,15,0.5,1.2976190476190477,2042,0.673
1530,100,1000,7056,489,6483,random,10,20,0.4,1.1071428571428572,2606,0.649
2295,100,1000,7056,479,6493,random,10,5,0.7,0,1251,0.337
2751,100,1000,7056,713,6259,random,10,10,0.7,0.5357142857142857,1207,0.39
9451,100,1000,7056,672,6300,random,10,15,0.6,0.6071428571428571,1190,0.545
6192,100,1000,7056,612,6360,random,10,20,0.5,0,1578,0.651
2844,100,1000,7056,630,6342,random,10,5,0.8,0,1082,0.335
2324,100,1000,7056,641,6331,random,10,10,0.8,0.17857142857142858,1262,0.392
7332,100,1000,7056,818,6154,random,10,15,0.7,0.9285714285714286,1646,0.502
