N_individuals,steps,landscape_area,habitat_area,matrix_area,type_scenario,proportion_habitat_random,perceptual-range,matrix-permeability,mean_hab_neighbors,total_crossings,assess-top-sections
2,100,7056,3968,3004,8,60,10,0.2,3.7142857142857144,5,1
2,100,7056,4182,2790,8,60,10,0.2,3.8333333333333335,1,1
2,100,7056,4429,2543,8,60,10,0.2,5.273809523809524,0,0
2,100,7056,4429,2543,8,60,10,0.2,5.273809523809524,3,1
2,100,7056,4429,2543,8,60,10,0.2,5.273809523809524,1,1
2,100,7056,4429,2543,8,60,10,0.2,5.273809523809524,2,1
2,100,7056,4429,2543,8,60,10,0.2,5.273809523809524,0,0
10,100,7056,4387,2585,8,60,10,0.2,3.511904761904762,15,1
10,100,7056,1897,5075,8,30,10,0.2,1.3214285714285714,7,1
10,100,7056,2336,4636,8,30,10,0.2,4.011904761904762,13,1
10,100,7056,1722,5250,8,30,10,0.2,1.119047619047619,5,1
